	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
56213	6253.16496335467	3521.51970301406	0.862125032580611	7.16276079846904	350.553996146098	1.10281506376279e-20	1.60250056915371e-16
76574	1459.74163479067	623.451654103187	1.26490140199922	4.92867867226864	225.201125582032	1.79612081820699e-16	9.3084940207339e-13
22350	3406.27170093526	2056.42808822675	0.69746378902967	6.34306112092721	193.994065589245	1.92178666727697e-16	9.3084940207339e-13
14623	2475.2980045577	1506.56038650931	0.776391681301986	5.95531760941456	192.197586818395	2.61088870032362e-16	9.48470592610062e-13
21946	212.760568217516	89.7161333237791	1.37514542428426	2.28095380415579	186.991994435701	3.43669820950397e-16	9.98773233646044e-13
17181	1959.36053394185	1276.83285909371	0.688853334219404	5.47768872254394	165.664727871275	2.27434229636186e-15	5.50620355577756e-12
433904	3591.45236983586	2674.7541556288	0.46959896539737	6.49527384830663	164.021257571554	2.65249637949507e-15	5.50620355577756e-12
20887	631.536550567341	233.35289393443	1.39506434437417	3.73290728412166	178.165419256524	3.19678329200708e-15	5.80655725201935e-12
104886	13744.1600533953	10922.8594400015	0.358602955510177	8.47485159899444	156.60370291113	5.39664466573499e-15	8.69730232405355e-12
106878	296.104561754697	118.6339734863	1.39029496989277	2.68771457661325	155.545636574799	5.98534328267398e-15	8.69730232405355e-12
228608	1567.85286424657	1005.43469712731	0.672371073683254	5.28695116261854	151.385834654289	9.04290453478685e-15	1.1758050673066e-11
68272	3121.50427538348	2095.43463890931	0.556560348154561	6.28171502131281	150.309665190028	1.00767399910832e-14	1.1758050673066e-11
17060	675.634043391557	418.691638504553	0.689769728048408	4.00823824653795	149.884154892127	1.05192112552376e-14	1.1758050673066e-11
12575	1049.32959766078	469.480585432298	1.22798797542671	4.77921592749371	164.656386053372	2.64130883799926e-14	2.74148990892623e-11
210135	1714.61389448174	1261.74009867171	0.451514804593386	5.44423151468513	139.746277258744	3.01804891833914e-14	2.92368458882574e-11
56175	55.7808407150813	164.308737178768	-1.43208153355643	1.50235831430175	132.274033151497	6.82844828994307e-14	6.15203678845481e-11
11744	970.311583265735	609.702271734668	0.666626838347424	4.57662842624861	131.803548872199	7.19734535845653e-14	6.15203678845481e-11
243911	550.67225264163	317.620853987334	0.84392297973219	3.62328019727664	129.325346436914	9.51917156884877e-14	7.68461567038563e-11
23792	5629.91035643561	7730.07939895714	-0.471217951820747	7.56181392265918	127.130407489625	1.22369937113105e-13	9.35872397995012e-11
208076	2530.44772068328	3270.57782126294	-0.364308896931694	6.35987003870085	124.312486530399	1.69776834428238e-13	1.23351359053837e-10
