	x
Mgat4b	1
Ano6	2
Zbtb21	3
Atp6v0c	3
Bmp1	4
Sfxn1	2
Plxnb2	1
Slc6a13	2
Gng4	2
Jun	3
Pdyn	2
Reln	2
Rpl29	4
Ryr1	4
Sema3a	2
Tuba1c	1
Rnd1	2
Plekha6	1
Mapk1	1
Slc7a11	2
Gprin1	1
Sytl1	4
Cttnbp2	2
Slc22a4	1
Postn	4
Syt7	1
Jmy	1
Nek6	1
Olfr287	1
Dusp10	2
Gm7984	1
Zmynd19	2
Kcnv1	2
Rpl41	2
Taf15	3
Ddit4l	2
Fggy	1
Chia1	1
Otof	4
