c15	check	gene
11434	11434	Acr
12805	12805	Cntn1
13712	13712	Elk1
15357	15357	Hmgcr
171180	171180	Syt12
18628	18628	Per3
19736	19736	Rgs4
20604	20604	Sst
211232	211232	Cpne9
21685	21685	Tef
217082	217082	Hlf
223827	223827	Gxylt1
238384	238384	Slc24a4
56219	56219	Extl1
66725	66725	Lrrk2
68708	68708	Rabl2
69219	69219	Ddah1
69440	69440	Dennd6b
72290	72290	Lsm11
72349	72349	Dusp3
83762	83762	Otof
