	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000042050	1001.2	934.8	0.110265848682491	4.64641817504112	5.14150422630514	0.0297090089360783	0.0740339896802871
ENSMUSG00000036061	261.4	236.2	0.152015895599251	2.69332860322857	5.13929151277937	0.0297418468880023	0.0741041546340607
ENSMUSG00000020850	11350	11891	-0.077682561641539	8.20300152299853	5.1384267980846	0.02975469052595	0.0741244879344134
ENSMUSG00000041923	8724.8	8283.8	0.0805796814657229	7.70929280121601	5.13415751518402	0.029818191178428	0.0742654155086748
ENSMUSG00000050088	927.6	1019.2	-0.112920349130906	4.63053777415455	5.13399277593847	0.0298206444483629	0.0742654155086748
ENSMUSG00000075470	993.8	903.2	0.1360028987969	4.61385105315877	5.13221776441754	0.0298470916180744	0.0743195867897591
ENSMUSG00000031776	4138.2	4445.6	-0.0833324195349832	6.79115239147732	5.13168420808809	0.0298550464631735	0.0743277021808074
ENSMUSG00000006526	572.6	616.8	-0.0957178805181517	3.95015775058178	5.13066128460721	0.0298703038084017	0.074346484614763
ENSMUSG00000026248	330.2	306.8	0.121781812556958	3.03709466498915	5.13054864022925	0.029871984468374	0.074346484614763
ENSMUSG00000021023	128	147.4	-0.181297947287671	1.87176557831562	5.12615437588214	0.0299376277899239	0.0744981465629155
ENSMUSG00000026893	445.4	494.6	-0.134421455939637	3.61337389311511	5.12299144278213	0.029984974493349	0.0746042378584127
ENSMUSG00000070420	909.2	971.2	-0.0941068073865659	4.64071554124716	5.12188815690592	0.0300015090791038	0.0746336456409137
ENSMUSG00000026797	50244	53700.6	-0.095510865346177	10.3445986848131	5.12091831999093	0.0300160519339199	0.0746580902045913
ENSMUSG00000023064	79.8	102.4	-0.351243180564994	1.29462982417775	5.12144794740256	0.0300400150596326	0.0747014289880166
ENSMUSG00000027387	200.2	228	-0.165884641374892	2.47131707780559	5.11912823852507	0.0300429147095656	0.0747014289880166
ENSMUSG00000041506	1106.2	1033.4	0.110224364238763	4.7615664863224	5.11758675398562	0.030066067970304	0.0747411120855011
ENSMUSG00000041961	601.8	655.2	-0.120421046665989	4.03908956930982	5.1174370381614	0.0300683177560472	0.0747411120855011
ENSMUSG00000082145	120.8	103.2	0.243087798743276	1.48098236067634	5.11656194047073	0.0300814715636645	0.0747620683594357
ENSMUSG00000024338	113.4	142.2	-0.327041923732174	1.7919834862537	5.11847216211538	0.0300902968234436	0.0747722619180988
ENSMUSG00000027562	3748	4174.6	-0.119443356315612	6.67753750280337	5.11500482933357	0.0301048924277701	0.0747892731210133
ENSMUSG00000032965	1661	1844.2	-0.123123343567807	5.47358965277699	5.11489187164776	0.0301065922248466	0.0747892731210133
ENSMUSG00000058420	2316	2182	0.111850589204136	5.8959623218675	5.11295615041851	0.0301357374241917	0.0748499274576385
ENSMUSG00000020986	4181.8	4419.6	-0.0715282446684309	6.73644960769649	5.1110902248948	0.0301638609199637	0.0749080254945255
ENSMUSG00000022961	14695.6	15685.8	-0.0838494894601602	8.63653670556203	5.10518646996289	0.030253032188981	0.0751107505249164
ENSMUSG00000015090	8045.2	6664.4	0.2750236991237	7.49897248715778	5.18475347435806	0.0302549842281172	0.0751107505249164
ENSMUSG00000026923	1071.8	1224	-0.198643717268788	4.98009943034208	5.12385761423121	0.0302952170115084	0.0751988380233914
ENSMUSG00000021754	254.4	289	-0.174406586330409	2.9066116300958	5.10170946912653	0.0303056840902148	0.0752130250021966
ENSMUSG00000026134	270.8	245.2	0.145709324388366	2.77434279607438	5.10015435721658	0.0303292653985254	0.0752597494894589
ENSMUSG00000027944	843.6	777.4	0.146595317323639	4.36219707035643	5.09905428780832	0.0303459586675247	0.0752893698664966
ENSMUSG00000044949	1289.8	1207.8	0.119732244954935	4.94970656428222	5.09637996505938	0.0303865827032773	0.0753783447124551
ENSMUSG00000038172	3636.4	3507.2	0.0665582467635574	6.51556897539842	5.0918217222915	0.0304559612504481	0.0755386102527959
ENSMUSG00000047777	346	384	-0.134457485077475	3.15622601154487	5.09004772212189	0.0304830091165309	0.0755938510583687
ENSMUSG00000097156	5173.6	5607	-0.09939491146308	7.18465361509783	5.088576050387	0.0305054673525472	0.0756376946621976
ENSMUSG00000016520	132.4	154.6	-0.208817234362134	1.83531506714002	5.08757513881046	0.0305207519492288	0.0756637404235462
ENSMUSG00000037455	537.8	494	0.120240768633572	3.73371429484772	5.08557073188759	0.0305513857617879	0.0757278241815441
ENSMUSG00000000127	412.6	446.8	-0.104364122317268	3.45980555079766	5.08416448779855	0.0305728977667673	0.0757692811570627
ENSMUSG00000044231	303	276	0.152437224774919	2.86913854184957	5.08243901698047	0.0305993157553713	0.0758228818240095
ENSMUSG00000008307	173	205.8	-0.237937634362995	2.4043385289968	5.08181579570292	0.0306088637761372	0.0758346696998711
ENSMUSG00000024830	983	1067.2	-0.116217451065849	4.75925226685208	5.07907571165874	0.0306508816933277	0.0759268867486204
