	KOHC7	WTHC7	logFC	logCPM	F	PValue	FDR
11434	209.440012100791	107.079417697575	0.937610206160933	1.91338479257746	93.2603416725485	7.61870448316428e-12	1.1070739484486e-07
16476	1960.33079095533	1441.667164212	0.44424009746566	5.70375534220103	58.0703226438065	3.47563597030811e-09	2.52522331422736e-05
68708	1036.18880494739	1281.60421503033	-0.319672491776755	5.00590579413834	53.3923426682077	8.68000896711717e-09	4.20430701003932e-05
69440	3080.11688520865	3631.17792663704	-0.272231583170521	6.39775431935523	33.3512423584123	1.1019527325011e-06	0.00400311878899339
12919	775.037554946689	576.108118405102	0.430540670196084	4.34374024575877	32.1193504825715	1.61636845640455e-06	0.00469749000800292
53324	2352.99620916876	1716.43029433727	0.435252395206576	6.12227381810808	29.0230353383923	6.07998295429664e-06	0.0147247053848141
66725	1541.5107299842	2009.76073064094	-0.38254622975679	5.97517396926327	26.3475618990559	1.14747349107305e-05	0.0238199104268322
21685	12866.5924751552	14518.8748595026	-0.189829658682305	8.54879184823832	24.5172684945411	1.49416530422388e-05	0.0271396450445965
11516	1258.48033977841	971.691933031273	0.40532368924345	5.02914873615174	24.3727124406997	2.02084145241316e-05	0.0302447364130162
106014	3416.37720305866	3852.36372974538	-0.18638327162895	6.70749919156496	23.4804644435769	2.08139401369597e-05	0.0302447364130162
243813	285.572881933827	232.442324087374	0.299322515034913	2.86223188006308	22.9292686643246	2.4886078534272e-05	0.0328745097437733
223828	1023.94885859063	1238.33523004851	-0.25590607249681	5.05765666293057	22.4238948604928	2.93615412084967e-05	0.0352137796123584
72349	8147.61986337908	7530.54852300171	0.127261821895542	7.77241921666064	22.2100925764513	3.15036222531594e-05	0.0352137796123584
13367	1748.14236853164	1956.3972778872	-0.189349243295551	5.78667113892819	21.7822034930337	3.63012063114072e-05	0.0376780592079327
67383	60.1341705841309	89.0795427510045	-0.546541418699573	1.20159440899986	20.2367446414891	6.11433212389441e-05	0.0592315733948731
223827	738.874335042739	622.724103270171	0.256115568946156	4.2713413917194	19.9941142509831	6.64502053643518e-05	0.0603492458843373
237761	1754.24354922203	2033.41614314593	-0.230572848985003	5.98766112670665	19.8100084155634	7.08004759057616e-05	0.0605177479639189
57274	62.3958551843812	31.9243133961461	0.966473661651134	0.596022602775614	19.1605600529148	9.36105785189115e-05	0.0730727836166203
170676	718.717606754687	582.154343918323	0.312703531342001	4.42527235074429	18.8412625261665	9.96383008794872e-05	0.0730727836166203
17311	1771.60360605572	2258.21110582286	-0.328468461952231	5.93972016961777	19.405391653535	0.000100575023902856	0.0730727836166203
26417	4675.59255565515	5339.20369039335	-0.229242447359144	7.0708764822173	18.3687581602015	0.000119823524688135	0.0829121732020617
272538	215.386452900399	171.893229155901	0.340728276396002	2.50280508552023	17.5478567525903	0.000157257120503212	0.103868328092372
14860	1075.53715945605	1284.37535637335	-0.243514730878687	4.99821697578918	17.2022695574325	0.000178216578320578	0.112594134764188
103551	2251.57901017655	2623.00183269016	-0.255138561677348	6.20768201189159	16.9762689667474	0.00020678911021697	0.12520219002345
60596	4759.87932316097	5499.77408138296	-0.196345105934892	7.06016289290545	16.4341458594339	0.000236111586000144	0.129597250154623
73826	2941.48895904786	2552.26500960218	0.203047647362278	6.2829669564667	16.4030110510333	0.000238841950104534	0.129597250154623
26395	9437.82847500899	10319.9778189371	-0.13424490516163	8.08287375588038	16.1746318161585	0.000259918766649933	0.129597250154623
14696	1101.24511152612	1312.38030027501	-0.286147239353059	4.94739971036486	16.2894599992665	0.000262618235806445	0.129597250154623
59020	373.785290994934	329.086070783132	0.22286397714106	3.35527839506609	16.1008002311091	0.000267146131048669	0.129597250154623
100689703	241.949600374521	196.001386887217	0.309200207681478	2.44496027900907	16.0966342736495	0.000267560216408967	0.129597250154623
12575	628.665156450681	469.480585432298	0.396194702037131	4.77924068379421	16.4126839543103	0.000283677166473082	0.130896172914457
53357	1072.52280487855	850.022841529832	0.309438362932295	4.69866458628793	16.0907387600902	0.000288258036835911	0.130896172914457
18766	44.2228419913889	88.9393593875551	-1.02639889158511	0.875242007116593	16.2461274875835	0.000309236979029911	0.136167349766171
217082	7492.7717456107	8220.6114462305	-0.144767081411284	7.84880002055828	15.5911401587795	0.00032321049342445	0.138103821319199
238323	1978.74135385606	1706.23682946554	0.197121832524782	5.6202581018794	15.5146661869257	0.000332642883915212	0.138103821319199
384061	2960.87529043226	2652.80232394718	0.157512465072702	6.25986434827408	15.222988563512	0.000371378806244621	0.146293947249823
21928	125.742525041882	95.0933822406764	0.418526152661654	1.4861258193439	15.2149941556808	0.000372505405563516	0.146293947249823
217154	4900.81213140846	4261.1022114637	0.186801964352303	7.0511533199723	15.0156627989075	0.000401796934503662	0.150844892771941
107503	406.454768235688	333.709099901955	0.297720417706883	3.33342174790632	14.9957430734292	0.000404855193593399	0.150844892771941
230735	2614.21321356385	2243.13366879397	0.192588263517536	6.33098879207191	14.7651682592216	0.000442102899270517	0.160604930732497
227733	396.234268059065	328.075440981884	0.24244041681943	3.20231997674653	14.6750949589772	0.000457623535897412	0.161467779273186
14561	238.268402588111	189.765514932413	0.283334666638247	2.54424938963606	14.5306264015107	0.000483732825843421	0.161467779273186
67808	4573.55832214063	5008.24988814451	-0.137657876659508	7.09463590892966	14.5161039203717	0.000486443262957131	0.161467779273186
17202	50.159550309346	69.6902145489738	-0.565739528946081	1.58090644086503	14.5028769069615	0.000488925902416914	0.161467779273186
108079	2180.66621225506	2425.04862558015	-0.155041060921324	5.96365490615232	14.3851687533466	0.00051161875577221	0.162463181972789
269109	7666.35287286289	8438.4127477086	-0.127530910738653	7.70863139618863	14.3716227888088	0.000514300899507832	0.162463181972789
17293	68.6162596642831	31.8769742018793	1.08483989112106	0.529270156656108	14.6228075256201	0.000548199021197128	0.169486808021606
74127	277.185657570997	186.660271959276	0.510143508848564	2.92803620616147	14.3284834418329	0.000587183266563268	0.177757500967309
20254	8466.10847696284	7476.11765000488	0.198464221997269	7.99371282009768	13.9874771823333	0.000614071911438672	0.178663495638307
27279	107.987153357614	77.2048543468417	0.481653116062549	1.5779032985568	13.9118272950143	0.000614766690655518	0.178663495638307
223881	1118.25457694746	983.636644119608	0.184437732471135	4.94525828256302	13.5597108194928	0.000705679656266897	0.201063354612045
116939	410.226665001466	657.663166394649	-0.701237442764441	3.81070103267382	14.3050120638675	0.000726782058416546	0.203093655593285
83762	1739.9266457831	2187.7181353744	-0.381667593612487	5.81632509104368	14.0598546143812	0.000748753990652423	0.203986383495893
53378	5841.35440242623	6555.9613051806	-0.146662688088571	7.42051380113144	13.3673563203876	0.000761263096933708	0.203986383495893
242557	1885.55489755489	2114.87594235378	-0.144179871121618	5.68897030313463	13.3316200241438	0.000772090777804287	0.203986383495893
52552	761.496285026978	674.473207186123	0.183093674702801	4.33696256444377	13.1441217266237	0.000831636992421854	0.214624470172531
75394	31.5081873797359	47.091087298757	-0.596054818875787	0.0715188024417836	13.088615154293	0.000850183920565582	0.214624470172531
68515	275.971742776497	225.449960584386	0.301343440869475	2.70145004054829	13.0695166422829	0.000856666387035083	0.214624470172531
619309	853.809178017465	731.792491494136	0.193682237143976	4.35959938978124	12.9956750075235	0.000882226760122875	0.21728198392111
110616	1219.0074075435	1388.25307707266	-0.171802132847216	5.20636966649441	12.8372116870236	0.00093984633906479	0.227615119215841
69784	364.402025840023	424.712414934478	-0.229110470282273	3.52904550281913	12.7778373461592	0.000962451252708795	0.227890197013697
12577	191.911655037499	235.910919566656	-0.327595899402593	2.38934633748161	12.7523053755364	0.000972348235830242	0.227890197013697
328108	2339.06479664734	2598.62722162734	-0.140701854504906	6.17437962284486	12.693325929963	0.000995625135648284	0.229253671479373
67736	564.258212013247	495.020413780509	0.190282599794349	3.91856705406908	12.6569367869145	0.00101028049449758	0.229253671479373
243312	1259.9966929464	1094.23442123187	0.147682337115224	5.12358938408589	12.5710193011922	0.00104579764555532	0.229253671479373
70894	53.7943094255904	71.0589696004096	-0.452655354410604	0.820572800051611	12.5640866000587	0.00104872066585733	0.229253671479373
76826	108.758317083617	139.747312125087	-0.33787287495978	1.6848936555358	12.525310147382	0.00106523036126987	0.229253671479373
57780	2533.05363408897	2259.14941899234	0.140566567248914	6.00152166372605	12.4827962860634	0.00108364838457034	0.229253671479373
69908	1906.24670150679	1696.43740593629	0.170847096937237	5.68054868331151	12.4714882835297	0.00108860390421008	0.229253671479373
98170	11012.6165455433	9719.98711624214	0.137915607215072	8.20394962354893	12.3955015182763	0.00112253302472934	0.233021819747744
67131	1077.49602072888	959.167708953117	0.151404997438046	4.78509160486307	12.3246960478723	0.00115515867265533	0.236417051723305
207792	462.35645509849	378.167640207012	0.273379616240629	3.41635850309713	12.1036368572709	0.00126364957499162	0.25382336888201
