	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
330319	7052.89695738123	3961.40056886741	0.814164137173974	7.24366065420171	476.464098071837	2.72821022999608e-17	3.85993101969553e-13
56213	6325.04640660623	3640.66560550378	0.808463546092361	7.1487380151083	449.159351514288	5.34098660536257e-17	3.85993101969553e-13
320563	4932.79117353903	3053.00288816218	0.764887443651939	6.75090787842561	415.512498060298	1.29202428240288e-16	6.22497299261706e-13
67451	450.288269721185	149.772696956711	1.56994387673387	3.07077151755734	395.759044961275	2.24115331608747e-16	8.09840750768208e-13
108682	2732.63390551087	1618.59322357582	0.749798600013921	5.95424690573517	315.806795299487	2.81846069662399e-15	7.07722270660023e-12
225870	4117.70809822327	2665.72946778898	0.681784322447985	6.53953587174747	314.63286821145	2.93782594711508e-15	7.07722270660023e-12
20887	688.578321467656	211.618520795911	1.61889100840119	3.73533033047092	335.84746537334	7.02389515487246e-15	1.45033400812181e-11
13803	52995.7386055941	38179.0632527934	0.411987941279861	10.308681433652	282.807755049589	9.59101228326937e-15	1.73285614427969e-11
226115	191.350253846122	485.687134310516	-1.35486178706308	3.20765117237907	270.120277321298	1.59147070337733e-14	2.555901949624e-11
22350	3563.31325672223	2251.40639203004	0.62509274158352	6.34305833984452	265.691234341963	1.90908275712139e-14	2.75938821714326e-11
216892	3402.69640700045	2131.65893548433	0.675618437002762	6.28171221192561	258.395276593271	2.59231745570488e-14	3.15926449500671e-11
106878	353.42486145002	100.953246297845	1.84662799368701	2.74277633126278	274.381356485557	2.62288459527332e-14	3.15926449500671e-11
76295	3747.56482073557	5084.23218607734	-0.611607617791898	6.92708673564527	254.633900055631	3.04465365956721e-14	3.27154197328231e-11
17289	1991.25238600001	1158.11113027776	0.754026311150529	5.45966630693152	250.600235417122	3.62663838039668e-14	3.27154197328231e-11
68070	5449.55581598406	3513.5652310554	0.610921410932433	7.01613898626178	250.243649774519	3.68361043178993e-14	3.27154197328231e-11
50794	8692.10424103619	6187.93161961177	0.505771813153836	7.69618622034814	249.297079304766	3.83960376711297e-14	3.27154197328231e-11
228880	9209.56468793538	6342.85603715555	0.504454995230379	7.74287622278213	249.24845639291	3.8478077726442e-14	3.27154197328231e-11
24066	653.86999010627	350.576178383236	0.946325264932802	3.89927647221364	243.743329673276	4.91190837812869e-14	3.94426242763734e-11
21946	262.231979537123	104.986292793609	1.41608534397254	2.39338923883408	241.624476945284	5.4031530628054e-14	4.11037759840996e-11
14623	2941.33541588014	1492.56755335209	0.946986189410244	5.99844620509131	310.922253312222	8.37449078787554e-14	6.05224449239765e-11
20971	1782.31422645304	898.606861684728	0.923166575898732	5.24382554153779	258.997529657923	1.00064090991917e-13	6.88726843427221e-11
433904	3868.51497670907	2596.66887067076	0.515180854570699	6.49522462094054	223.623783119528	1.25411042259149e-13	7.94487557079052e-11
13371	7233.40906884566	3304.18857195111	0.944423715842934	7.16155823081263	349.782975599218	1.26423231028215e-13	7.94487557079052e-11
231070	1592.6324975155	2220.28920971703	-0.521335792629491	5.78805283910878	221.502206489676	1.39054550966245e-13	8.37456033194209e-11
329910	1677.95569333461	1047.08945152956	0.677530301548844	5.29439559091228	218.31387816298	1.62675927192806e-13	9.40527140657926e-11
108100	16825.0762956765	12921.6929552115	0.439819290416843	8.65879205470727	216.9834747154	1.73789011920748e-13	9.66133222424034e-11
328232	8168.57301932368	5187.66172145287	0.603300379008101	7.53068127136289	226.795207370297	2.03950982277115e-13	1.09181759179016e-10
69635	7486.04349456824	5612.57694072402	0.422971974074673	7.4775651852391	210.437183953691	2.41878462258037e-13	1.19803973347798e-10
18164	24583.7029383304	17671.9663626567	0.461466687164811	9.16818685579898	210.079303782464	2.46355397145624e-13	1.19803973347798e-10
11501	420.369685919084	193.768700969464	1.1368030751967	3.08580118069761	209.897882226786	2.48659139368614e-13	1.19803973347798e-10
74229	5524.64005270853	3223.62166745449	0.705051652715296	6.93739712395096	242.385884367936	2.92891048411134e-13	1.36562813346275e-10
213119	451.054815838447	205.421968799588	1.08946381904024	3.24602315585161	205.920591814434	3.05510013703003e-13	1.37995054314475e-10
27801	4107.73123251534	6578.69566124163	-0.546331047090113	7.22819382756352	205.019076863712	3.20265578812698e-13	1.3919315325575e-10
228608	1750.15246997679	1117.79601998619	0.68076475895681	5.33069206980412	204.131983306229	3.35541836346565e-13	1.3919315325575e-10
17181	2107.47206802742	1324.98474601047	0.707440151218795	5.48496193108416	206.040029698369	3.37052744150494e-13	1.3919315325575e-10
74030	1775.04684441059	960.707556291693	0.753049865604611	5.25253152573524	204.626357997184	3.53269409121622e-13	1.41837667762331e-10
12444	3479.97127545765	2380.04163112708	0.518448414028245	6.35300110531537	196.229536720881	5.12377548467983e-13	2.00159596906925e-10
22228	789.70699943028	390.397723530725	1.10424179127515	4.13322428527775	214.805716104434	5.90552505622134e-13	2.24627524112167e-10
232087	7861.71689079933	5565.07908476665	0.40330632021829	7.55014642690148	192.206363272029	6.39367269792587e-13	2.36959346604668e-10
100037258	2960.10591458765	1845.73163945445	0.572047374326548	6.05498784806319	179.797382658943	1.30046913038923e-12	4.69924520266148e-10
17067	1128.42872113	709.008143013778	0.661105222202934	4.69553633185956	179.096739626854	1.35540597184565e-12	4.77830193098952e-10
16601	8926.04575293281	6049.49330343212	0.45738412330046	7.72980926688454	177.549146276851	1.48587571511641e-12	5.11353513959348e-10
105348	1764.82336468311	1042.50770076901	0.704602546716633	5.28434014091731	179.404425183611	1.79202135793911e-12	6.01363249329057e-10
