	KORS2	WTRS2	logFC	logCPM	F	PValue	FDR
11434	155.286539616372	78.0260423760154	0.983527818271801	1.91347685031012	84.5334446224457	2.41102097067304e-11	3.50345457248499e-07
68708	967.184937424467	1236.17370889361	-0.383544307539785	5.00590434895249	79.2591951288486	5.72905212969022e-11	4.16244282482643e-07
69440	2340.8659421132	2925.79931818782	-0.363364994352404	6.39777033882189	63.6115468153697	9.60437579427101e-10	4.65203948888507e-06
110784	812.445250905308	950.613862048671	-0.228031629791178	4.72853689697885	28.6378888497286	4.01754098325967e-06	0.0145947220069366
223828	1083.07097880444	1327.41042613151	-0.260606473687821	5.05764659289475	27.0081131725125	6.57578053087664e-06	0.0191105333788337
271305	576.564549249172	446.063528889745	0.341316009983536	3.97276975597033	24.7204386754199	1.3429306886577e-05	0.0225368730953303
140492	1275.33405979929	1129.87839039675	0.222209621633402	4.87780382973845	24.7123119503384	1.34640730168087e-05	0.0225368730953303
100043571	62.2002247932707	84.6566581107005	-0.516685863015694	1.08999470273897	24.7118084030196	1.34662303087656e-05	0.0225368730953303
66725	2242.4659936441	3030.59463748945	-0.368623268204995	5.97513173693323	26.1194860241161	1.48698771664375e-05	0.0225368730953303
27204	3686.40136505178	2824.19991016995	0.358242693951968	6.2410744250383	25.6532174484472	1.73901501553243e-05	0.0225368730953303
19094	3255.06279122606	3617.08447630636	-0.181174356256566	6.53091094644807	23.8001440059955	1.80386297000732e-05	0.0225368730953303
80888	568.288805695434	457.727687098655	0.290178375139959	3.63031458840455	23.7034968665351	1.8611415397699e-05	0.0225368730953303
106042	4932.98209012383	4152.8993080679	0.249681224423155	6.98160438836381	22.9224794731913	2.76827266432063e-05	0.0270926189590289
67622	318.85400607243	395.372568200037	-0.314254597289733	3.39779778753025	22.4274479965602	2.82609633525525e-05	0.0270926189590289
50781	12845.973845218	14537.1257220354	-0.18971051392992	8.58567525122259	22.2824858037649	2.96520530617935e-05	0.0270926189590289
14313	151.977502708248	106.146133001488	0.590090682876829	1.66949538345335	22.0935822047643	3.1573973368649e-05	0.0270926189590289
12805	16407.1950809453	15115.7450194658	0.160252127637325	8.82570715258772	21.9794768642926	3.2798113461759e-05	0.0270926189590289
12291	5437.8009282171	5910.7813163969	-0.178830348356196	7.40447650825295	21.9106615499842	3.35604666755571e-05	0.0270926189590289
223827	726.704640623637	629.00712303482	0.252389817221924	4.27132168223387	20.4828968017798	5.44144901059801e-05	0.0416156292489472
83762	1610.95005495129	2067.81752312924	-0.457144211917295	5.81635089875035	21.5051341150093	7.27527548511677e-05	0.0521263535997477
12919	812.844723868169	653.631768188731	0.346064403336362	4.34373002942771	19.8075612569287	7.78998274991602e-05	0.0521263535997477
381813	3437.65206767557	3054.50762141061	0.146483209613828	6.52430774664868	19.3280396283703	8.12082833534596e-05	0.0521263535997477
16476	2048.49517739194	1740.73776193777	0.2344184363766	5.70375517071746	19.2692392602824	8.47023418467171e-05	0.0521263535997477
21685	12298.4365322399	13413.1210253697	-0.163015754114703	8.54879133404427	19.10077380674	8.79571218370381e-05	0.0521263535997477
12570	11877.8118823093	10524.943840333	0.16494395272785	8.31374856557072	18.9296240497371	9.34288820421578e-05	0.0521263535997477
105855	414.657958019477	483.25626197151	-0.238082227083661	3.80009576291995	18.9165442553307	9.38615622270101e-05	0.0521263535997477
17293	60.4472635928062	24.4223570074863	1.13585538026347	0.529288060448422	19.2943743622519	0.000100077134587835	0.0521263535997477
78779	1706.07488132105	1437.64002130993	0.188751955892224	5.58492063188009	18.6846098207888	0.000101895367469709	0.0521263535997477
100043600	64.8084171215356	39.7444884136239	0.704769722399214	0.770152538143089	18.6262141227446	0.000104030297597735	0.0521263535997477
18628	2261.77923862003	2613.84713649522	-0.235809067304941	6.0228303880851	18.6667133068048	0.000111361250668961	0.0535470414653774
56742	383.294051851656	467.816428482079	-0.30964906373709	3.46926911737367	18.3634967886672	0.000114235653804053	0.0535470414653774
66871	762.10562393724	887.38973695203	-0.212978616395457	4.67853849659374	17.7346740460218	0.000143198264053404	0.0650254367175004
276952	8874.05030357351	7816.42234854179	0.156171847579396	7.92627676602904	17.5007549098244	0.000155868547225265	0.068634116961525
14623	2904.05194667221	2475.2980045577	0.196985951489208	5.95527148127093	17.0073841504707	0.00018663392203148	0.079764044736454
56213	7045.59441614074	6253.16496335467	0.1816006891842	7.16273695348183	16.9280310128619	0.000192152789324648	0.0797763480478988
269356	107.389927249204	143.688727184591	-0.529664615697344	1.53747628135161	16.7902208801692	0.000202150604259456	0.0799623485714744
11516	1355.04506263138	1110.48637092538	0.337303545325813	5.02914709943962	17.4575255561352	0.000208628755942626	0.0799623485714744
68854	150.868103477589	116.526519056371	0.432684981167051	2.00705596865718	16.6603929086926	0.000212072598695678	0.0799623485714744
71733	545.213548065328	657.902414128294	-0.293323787630694	4.32139577446798	16.6638189848761	0.000214612318098376	0.0799623485714744
330319	7237.19549241703	5927.13766496947	0.254759675505929	7.21919463145652	17.18729360506	0.000225824316340717	0.082036328518674
234214	10479.1854237754	9655.00618866461	0.131692787915449	8.2949442123533	16.1942995182064	0.000252147360472158	0.0876078316349584
14860	1037.00569449643	1195.1115521211	-0.211945334564366	4.99821762649921	16.1829328675584	0.000253219250476103	0.0876078316349584
20355	1941.01127306849	2060.67354297288	-0.138229033965902	5.91374633668597	15.6611180498201	0.000307997738710884	0.10408174746995
72097	9669.57706228682	8528.61523608199	0.161809909437856	7.94842708758605	15.4821433302727	0.00032956102784741	0.108837529446607
53310	10945.4760302366	10341.3277361887	0.090572812015557	8.20273661590034	15.253395165734	0.000359468909460649	0.111460266638776
231148	6036.48792434074	6502.82358594709	-0.133621186158845	7.47483802831459	15.2173780618513	0.000364433464780924	0.111460266638776
18719	748.747227230424	660.103031619207	0.179139598111974	4.20098189855594	15.2045280562583	0.000366222184791353	0.111460266638776
68404	10909.844146789	9727.79546075097	0.183000404708764	8.09734259618763	15.2881815365887	0.000368184763516707	0.111460266638776
73826	2766.24273215622	2352.57828976815	0.176109002615303	6.28296283089022	14.9866522004471	0.000398004981250226	0.116528954531509
71648	575.937334464163	648.735232963458	-0.18990921321287	4.31933329648672	14.9672927684516	0.000400966741901827	0.116528954531509
270120	4899.34630696324	4525.01721689024	0.14524920356709	7.02310601494346	14.8403974837823	0.000420966086081021	0.118787432641979
69847	300.435565624995	225.976743996272	0.370447508137762	2.8886690723212	14.7794952561355	0.000430936495904989	0.118787432641979
53357	932.239427852475	736.364815827523	0.288650858961388	4.69867417654174	14.9925127081226	0.000438495695914849	0.118787432641979
100503822	417.907700338781	354.718510258914	0.304694125739037	3.55307090543165	14.7169444416905	0.000441437021723683	0.118787432641979
77125	540.577279301701	701.059774824787	-0.335610927823717	4.36993940526181	14.8841081485004	0.00047766362391257	0.126198729437701
72349	7801.69940689337	7264.9609028629	0.101400619717014	7.77242021280498	14.4049098852854	0.000498013764429521	0.127179839851655
19273	2426.70410788248	2654.6695203118	-0.165862857756397	6.06461104704083	14.3935843860698	0.000500206170788587	0.127179839851655
68525	1233.05615579257	1404.01771412093	-0.214335596924337	5.13989576338224	14.3637873745965	0.000507634072768286	0.127179839851655
232875	808.736160128126	900.467692189267	-0.164257304599783	4.70798575411316	14.1408424648685	0.000551882893883551	0.135922209000371
11865	2298.56816368564	2045.00480192633	0.176573778954525	5.91435836408303	14.0811579865601	0.000564891692846169	0.136807353145795
21400	1324.68255735008	1415.96557029885	-0.144755117422846	5.38712309634317	13.9296870979195	0.000599383666584888	0.140994873363803
70021	127.152445356788	89.5679117228593	0.469643918035567	1.48563542124322	13.9086689593632	0.000604343004209013	0.140994873363803
140904	1618.668365424	1813.42484278868	-0.206435049944893	5.5824842451858	13.9332902093136	0.000611291516201198	0.140994873363803
26570	1899.81294912436	1215.47263345419	0.68397190516893	5.644074506915	14.7452156461945	0.000667813431053579	0.151624952603743
320982	1935.02250585272	1781.94516803114	0.130545379830688	5.73835247523415	13.5775131657317	0.000688481884541653	0.15346677048126
110637	1165.50836893309	1248.00766563693	-0.166931771982138	5.15693442956323	13.5334976701432	0.000700565758005099	0.15346677048126
320709	278.187296138762	225.461875432813	0.331673120671821	2.82103398630406	13.4840349278462	0.000714413335482496	0.15346677048126
23877	761.570965143257	676.123478011488	0.157944271872941	4.35995095147755	13.4707882233532	0.000718170834266442	0.15346677048126
240690	95.8872798613211	125.203423845293	-0.375844508258662	1.89990659398863	13.4132395793483	0.000734739217196903	0.154731819783887
66970	2784.55749607511	3135.2948672153	-0.121039066355664	6.36548293072185	13.3474911935891	0.000754164552644499	0.156553787349674
19415	4065.41205644581	4336.25295890275	-0.151733332236545	7.04296967843521	13.2871486251639	0.000772471320156861	0.158095503566188
12834	851.619307359595	998.418456499879	-0.231591991722893	4.79831670694333	13.1003447850672	0.00084335404533343	0.170205244899168
67203	753.95757588961	659.900945066362	0.178955925342445	4.11485633375876	13.0083012700391	0.000863388836776221	0.171467044076918
12835	141.329718630949	166.02488172444	-0.367386488592923	2.25667907059388	12.980067394757	0.000873206335537258	0.171467044076918
15040	633.065987108539	739.523716710591	-0.199740688089213	4.10349184481809	12.9463761468922	0.00088507633019679	0.171480588721194
17888	130.082593117746	158.438038357986	-0.342871438143977	2.13622420761872	12.8631631610803	0.000915131591727925	0.174970752097348
19736	25013.5745153181	22710.8578395125	0.14922305321112	9.37891307731906	12.5468868193428	0.00103960080628098	0.196063263793004
72290	1862.7601484809	1545.10006828225	0.208430366479688	5.5137335674904	12.6310822076989	0.00105243510948003	0.196063263793004
18791	1256.76225928254	1077.98229424534	0.173089101795702	5.06852606432716	12.478175776286	0.00106894094712034	0.196617479779818
68653	2497.99303379742	2708.81749120984	-0.126226289365433	6.16585479097404	12.3025863880036	0.00114797529637154	0.208460675833748
20604	6042.27092100628	5308.14790502	0.224509973148133	7.28220981650362	12.6967262735734	0.00116548496267866	0.208460675833748
15902	4754.87411491191	4498.12807339223	0.141093660903522	6.8666393354253	12.2426188479091	0.00117636607379859	0.208460675833748
380698	264.273537139055	306.420117155779	-0.270233141053627	3.16151921276143	12.1479211105462	0.00122272430549456	0.212850085785208
20750	435.68645141834	330.496337607216	0.399433456724933	3.06088111845773	12.4328632575634	0.00123147595978254	0.212850085785208
74186	918.717726101914	1077.2857049096	-0.303032626789957	4.64640996577117	12.4715564272352	0.00125851163366084	0.212850085785208
71919	745.02778931032	886.832677699578	-0.216322267259257	4.5484858829525	12.0743919883556	0.00126005320848644	0.212850085785208
211232	2994.08138007176	3250.72808979342	-0.147049655669557	6.59945819545906	12.0467902288206	0.0012743759867396	0.212850085785208
230775	18687.7518000155	19689.0405775832	-0.105835525299346	9.14790760833667	11.9904062384054	0.00130417291904618	0.2153515532575
208968	773.011345085365	927.276068149131	-0.189833130846852	4.60979371289897	11.9440497088378	0.0013292235609859	0.217021882749282
20867	7248.98472247921	6746.49627514935	0.139933377570004	7.49978328402354	11.8293519282083	0.00139342251153295	0.224975805723171
269994	3578.28485847988	3854.91103801136	-0.146103568780336	6.7444971361862	11.7736721220209	0.00142576509660596	0.227668050755837
14182	2597.5035464048	2332.73305600615	0.129246487819114	5.99923477445165	11.6927425700547	0.00147420064245281	0.23284358190741
270685	287.465363392718	340.360450050022	-0.239662724291517	3.43476924244775	11.6289850083915	0.00151358637512733	0.236493802333068
18194	929.296263999925	839.686320225131	0.160882435588956	4.75943382847353	11.5823521477325	0.0015430989803267	0.237137126105397
67533	1440.5761182134	1311.42697664112	0.161795613471331	5.36156850114165	11.5465796860133	0.00156615160679361	0.237137126105397
72324	962.381548502274	1084.0381202499	-0.189483974861845	5.02205310367697	11.5457941507483	0.00156666190256129	0.237137126105397
100504381	45.1117639659841	61.5774929289963	-0.464992738862333	0.590619701451857	11.4511117879065	0.0016294791521015	0.244102696486463
239552	136.679117862313	168.441164908345	-0.335240226696856	2.1128518631175	11.4090984808827	0.0016582034051141	0.245870955915438
100503068	1970.02029258797	1722.69912454661	0.189147567397117	5.53380105302337	11.4166032709608	0.00168662389356758	0.246576648756926
74008	303.348253108158	353.130367573271	-0.268171347323788	3.60568470192508	11.3537022667438	0.00169690075532947	0.246576648756926
67389	326.429872383161	365.459242239429	-0.232796319177062	3.53731903561857	11.2549376116922	0.00176828874332737	0.252160812656606
13170	1034.06706909194	1376.83489260498	-0.431869892518761	5.22931759507087	11.9467050787025	0.00178408555006212	0.252160812656606
56312	175.149151651407	144.076265136077	0.341711350648801	2.09904014678623	11.2281158531885	0.00178822088221483	0.252160812656606
237847	2998.92266488184	3194.63102111135	-0.130247510050913	6.41900706061746	11.2042593128353	0.00180614974572743	0.252160812656606
100616095	71.5185914984859	52.5977784877596	0.43659373669149	0.759510465903515	11.1711989919819	0.00183131133867474	0.252160812656606
110380	2969.74270969079	3282.56993823765	-0.139673971318483	6.51609969843745	11.1606086370563	0.00183944987554884	0.252160812656606
18099	5906.06670184704	5556.60489698509	0.0957174394080879	7.29823675972882	11.1208887179677	0.00187031750767192	0.253996109382997
231070	1909.06136578279	1708.92878992636	0.152604840589657	5.83688537081222	11.0391036023321	0.00193561916473837	0.260430389655679
74411	2627.2701365961	2410.23522419347	0.150939119670507	5.99879554619612	10.903475397172	0.00204930117961479	0.270771933340185
269109	6694.35733149435	7285.69837729123	-0.10009983023479	7.70863463222696	10.9029562572251	0.00204974968463425	0.270771933340185
100040792	60.827206839894	41.6617211191824	0.484441318318506	0.172493964893286	10.7810373609266	0.00215802097212383	0.280491422133224
19221	2904.2195267091	2623.35049812465	0.129620416844119	6.30421415542333	10.7767552471572	0.00216193237071923	0.280491422133224
242819	1421.05030119819	1556.6827574776	-0.125405965351316	5.43868882205787	10.7350222078635	0.00220044885032705	0.282057447256581
269152	321.827266593547	378.290098902228	-0.326401378252692	3.36913661917061	10.8487845839676	0.00222489182372696	0.282057447256581
69908	1890.97796509127	1722.95971517312	0.159568032562651	5.68055170755483	10.6877250077135	0.00224498283817895	0.282057447256581
76886	8212.82450672704	7774.20131786949	0.095638844291257	7.78463824425586	10.6807344563059	0.00225164571480032	0.282057447256581
433904	3917.44666398521	3591.45236983586	0.115218989537446	6.49525027192062	10.6567354348053	0.0022746799971615	0.28246940195532
433485	1594.23343341971	1420.23476296448	0.155673426737989	5.42061022890895	10.6369969207803	0.00229381249953394	0.28246940195532
14083	6123.43961966809	6544.34596395499	-0.0968090080756626	7.39040494533557	10.6115985718153	0.00231868275533214	0.283132597627995
11541	46.7932566264028	62.8206248059007	-0.463846060156588	0.913444967468765	10.5623871122671	0.00236768932252803	0.284805238413815
54357	289.997713629685	346.882908437625	-0.250915224615114	3.27570575742367	10.558526268989	0.00237158033501284	0.284805238413815
12053	951.954342285868	840.958606377601	0.171333853760903	4.57110347442201	10.4947593098407	0.00243683718540786	0.290243288042308
26417	4132.34305088686	4592.96698988685	-0.168360909745362	7.07088296196463	10.5416832792979	0.0024908211669501	0.293070506337986
59033	3048.86062986003	3806.88030584137	-0.344825131791932	6.65579648803361	11.0484150414255	0.00250836042864324	0.293070506337986
14205	85.0831037517053	108.334962219514	-0.39576973744764	1.70364962185308	10.4150700119969	0.00252107998707923	0.293070506337986
