	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
56213	6253.16496335467	3521.51970301406	0.861635179792192	7.16276560832347	315.747382610058	3.56710393999588e-20	5.18335873520801e-16
76574	1459.74163479067	623.451654103187	1.26501525343278	4.92870044582857	229.872434791162	6.33670480244422e-17	4.60393287421585e-13
22350	3406.27170093526	2056.42808822675	0.697330505871267	6.34306471953653	196.040898154418	1.04526236603242e-16	5.06290248027237e-13
21946	212.760568217516	89.7161333237791	1.37412455141906	2.28098261706586	188.365171920336	1.99184557577222e-16	7.23587701538653e-13
17181	1959.36053394185	1276.83285909371	0.687979608547418	5.47769745251909	161.304412674788	2.33729763572809e-15	6.79265438895296e-12
433904	3591.45236983586	2674.7541556288	0.469084738960665	6.49527863456743	159.270700413012	2.85030796590849e-15	6.90297084210271e-12
106878	296.104561754697	118.6339734863	1.38896379631579	2.68775270388548	157.391389957064	3.43023387749057e-15	7.12067549625935e-12
17060	675.634043391557	418.691638504553	0.689656470793012	4.00825424576744	153.114137169738	5.26404181183204e-15	9.56147394596642e-12
104886	13744.1600533953	10922.8594400015	0.358812103769778	8.474852339151	147.259181104581	9.61207291703097e-15	1.55192257285975e-11
228608	1567.85286424657	1005.43469712731	0.671699378259015	5.28696250043915	146.08671613844	1.08687431026648e-14	1.57933706024823e-11
68272	3121.50427538348	2095.43463890931	0.557742175287474	6.2817191506491	141.50732903325	1.7698004610789e-14	2.18156028964619e-11
12575	1049.32959766078	469.480585432298	1.22810079084445	4.77924068379421	163.641688435993	1.80157755665503e-14	2.18156028964619e-11
20887	631.536550567341	233.35289393443	1.39105279559497	3.73294139107022	151.914512284941	3.47023450314916e-14	3.71275880370678e-11
11744	970.311583265735	609.702271734668	0.666617617635921	4.57664032753788	134.785680458591	3.704830228387e-14	3.71275880370678e-11
56175	55.7808407150813	164.308737178768	-1.43194404131177	1.50233421375648	134.483355901128	3.83259115378169e-14	3.71275880370678e-11
210135	1714.61389448174	1261.74009867171	0.451264962929877	5.44423910522423	133.336429206419	4.36102378913455e-14	3.96062729249463e-11
14623	2475.2980045577	1506.56038650931	0.772839476088198	5.95532704157308	139.597671195285	5.34724410424024e-14	4.57063553404206e-11
243911	550.67225264163	317.620853987334	0.843059539869953	3.6232971152007	128.172200008805	7.88749034968232e-14	6.36739568173521e-11
23792	5629.91035643561	7730.07939895714	-0.470959410411747	7.56181248850543	127.426130401196	8.60560680629457e-14	6.58147750011928e-11
192678	1410.28069523909	2600.32424772649	-0.831849313548636	5.76880278328994	137.513834713786	1.12039519090493e-13	8.14023125951979e-11
108100	14417.4467193197	11369.911928983	0.351997094335137	8.59222504274197	123.334627396286	1.39770367111024e-13	9.67144383090614e-11
19094	3617.08447630636	2740.70110964128	0.442629298796456	6.53093154386788	122.084954098838	1.62488159536516e-13	1.07323429373869e-10
12827	5561.72489451618	3823.91648510363	0.576062058403994	7.13916234566959	118.737603755035	2.78337155177774e-13	1.75848573995141e-10
241656	2513.05528945747	3812.64187968618	-0.608125567913033	6.4414632929878	116.823051702284	3.83925185303968e-13	2.32450702818832e-10
14783	1541.09311121279	2111.52065834648	-0.464684586766949	5.65959790468913	113.832225027948	4.53010596922761e-13	2.63307879355385e-10
231605	3997.08405841574	2419.40996112113	0.74776038932953	6.63573191876941	124.072808403875	4.88328673361693e-13	2.72919382793029e-10
15040	739.523716710591	486.866879804196	0.60831662467427	4.10354949530713	111.54970669289	6.07535482720598e-13	3.26000676589407e-10
74762	1069.18206462069	511.17621701259	1.0763405544412	4.71206014176916	126.304213877369	6.28175551889299e-13	3.26000676589407e-10
208076	2530.44772068328	3270.57782126294	-0.363671657425489	6.35986643825199	110.963266968803	6.55596673769786e-13	3.26915102844111e-10
108682	2171.15071504502	1606.70442722935	0.462748513564266	5.87330230657315	110.419323601346	7.03757736576028e-13	3.26915102844111e-10
544963	2236.99692554595	1244.69213435674	0.731963039634371	5.61113325879548	116.280340629128	7.09164593895125e-13	3.26915102844111e-10
329152	2247.575031503	3275.08232886288	-0.600227106636696	6.27374408936891	111.720424871853	7.19928655358306e-13	3.26915102844111e-10
14605	2570.81852455931	1651.43654976332	0.667932432842386	6.09448928774762	113.743423607377	7.9130258489811e-13	3.48436904883468e-10
12411	1404.73410250865	872.277499023205	0.707223299319597	5.06865828813427	110.615830194321	8.35261750207782e-13	3.56976132125567e-10
14229	2205.29993389584	940.86986954603	1.22385687220493	5.6693606541811	135.824817438927	9.03871857853865e-13	3.752617704707e-10
102075	203.215449846181	93.3304454039084	1.10946428415624	2.30757337017865	107.828242987889	9.9003922845584e-13	3.99618334130328e-10
13497	4384.44515729451	5774.72095444136	-0.376806581811682	7.16509755931644	107.187115916343	1.07829891401393e-12	4.23480041068552e-10
108116	1388.2559788395	980.78545154124	0.494196789281207	5.08609194835298	106.290684206911	1.21582742623516e-12	4.64926008700609e-10
15505	17010.0990912495	12394.9949244822	0.464902341668194	8.75980164102413	106.003626776996	1.26367390624129e-12	4.70831936707492e-10
20971	1564.76882419461	993.669886227458	0.666060398982282	5.22365930968023	106.718583545487	1.33632114605325e-12	4.85452064332495e-10
71853	4555.41249678729	3183.41479848341	0.530123626871568	6.83947589827933	105.062703324345	1.43488955191374e-12	5.08545855581916e-10
57435	878.397452302253	66.4306711032643	3.59562259091296	3.93943943989355	141.308180360645	1.57745109588094e-12	5.4576052081538e-10
268709	13253.2146940538	7757.57508214058	0.746447873074836	8.32140206157453	118.056555617972	1.64888080455439e-12	5.57206673743718e-10
210622	1360.43086386362	1977.12733100383	-0.503198036024395	5.59797419990051	102.230785210004	2.11416946844262e-12	6.98204466953174e-10
12317	9962.89777469027	6811.77594162393	0.541843514491788	8.01466494559687	103.240468849455	2.4986171771001e-12	8.06831248898701e-10
76295	3931.51948169551	5402.24730947467	-0.515637350605367	6.97623026923063	100.799880323578	2.61713637452025e-12	8.26730623003341e-10
56427	330.318136886565	203.64618762321	0.776619041272362	3.00884679108272	100.478762963028	2.69773694927929e-12	8.34059906595264e-10
108069	1564.37772652692	2191.0802329012	-0.477869186573995	5.77916196069236	99.7501449600596	2.98828449066993e-12	8.92582808775901e-10
17067	1031.20661669099	728.169069478568	0.569134608021957	4.66174651162007	99.6736021197073	3.02066348861223e-12	8.92582808775901e-10
231125	1908.45364410313	2689.38910678072	-0.44855739280965	6.01094351128527	99.4800615965315	3.10419207988593e-12	8.92582808775901e-10
218461	2882.00872280814	3613.39179150954	-0.337986415009536	6.56283164086509	99.2879274548262	3.18952045210302e-12	8.92582808775901e-10
71840	54.9002582756731	6.24952203292695	3.10545870176931	0.315144979236094	100.736807929864	3.19415773562362e-12	8.92582808775901e-10
74229	4788.07261623554	3372.3636283285	0.48510865003431	6.9078536951016	96.7275095703955	4.59485618455319e-12	1.25977085316495e-09
100043257	562.040561557395	1217.45366216436	-1.11928111936534	4.46687195291984	111.82339790769	4.68214134860247e-12	1.25992955438042e-09
20563	1353.62658000951	1877.8694991248	-0.541369941464713	5.50242465734662	96.0457402123885	5.06991957474384e-12	1.33947275164732e-09
16525	3882.06033569771	3151.15073592326	0.339925036855937	6.68574138934177	95.3186876616283	5.6339184387108e-12	1.46190122915905e-09
75805	1042.28613894595	1476.26003924847	-0.467600673307703	5.11255407819693	95.0617695910435	5.84868887653425e-12	1.49100522920911e-09
14828	12609.4763836682	7358.90012030033	0.753020118860359	8.26961122306978	109.247870313183	5.95961115853343e-12	1.49308809904568e-09
11881	3769.62940935148	4832.6789891583	-0.339673970444033	6.93925835803761	94.0314427689861	6.80045306486123e-12	1.67487090653387e-09
224454	1784.0645846735	1299.57107260214	0.499380064598341	5.4934435447796	92.1613712370608	8.96835866429724e-12	2.17198699584839e-09
320158	1906.40306830475	2548.95914863942	-0.449247469042118	5.96033517211198	90.6299952242796	1.12830874430547e-11	2.64700746761747e-09
234214	9655.00618866461	12058.0059767446	-0.330947594748243	8.29493967663902	90.6235317894778	1.12940928354747e-11	2.64700746761747e-09
13618	793.931012714262	1164.67247886829	-0.588418193071601	4.78357964118123	89.1492675689632	1.41250972480734e-11	3.25796489066276e-09
233813	330.331495890236	618.899858051096	-0.851084376050104	3.79242457698595	90.246400542687	1.53231340556787e-11	3.47906970254791e-09
71760	661.620784040579	339.272658313465	0.898068894449043	3.82913018344431	91.4926123861654	1.62590536385932e-11	3.6347739757292e-09
14184	4501.5034641665	3230.88935806378	0.526011997049139	6.82829248775294	88.6317673771888	1.83401241078933e-11	3.99735802139175e-09
74008	353.130367573271	579.318471028604	-0.698602179367572	3.60562175358168	87.4176450493343	1.84311463377089e-11	3.99735802139175e-09
319713	1275.13160841434	1690.10679447673	-0.422612628744911	5.39051229587079	86.9957445849577	1.96767025571457e-11	4.2047377184983e-09
330319	5927.13766496947	3751.08795848721	0.662595983777462	7.21922046650893	94.9665965826734	2.12506067492158e-11	4.46009396263381e-09
14083	6544.34596395499	5363.36255623311	0.288745172718214	7.39041211101565	86.4306039966348	2.148555346393e-11	4.46009396263381e-09
67451	307.207151473155	171.321587841045	0.840050942564173	2.94428202921759	84.8662890278919	2.7465642522635e-11	5.62117255628744e-09
239188	1465.50937145901	1054.75767922233	0.482469007558184	5.25126655698682	83.7922564730329	3.25691753723316e-11	6.54737208732716e-09
17750	2483.66216594941	1404.08276968388	0.928022640315356	5.82809667898856	98.9590877961199	3.28923103967299e-11	6.54737208732716e-09
17912	1363.73098890477	2052.8693130576	-0.618598867595386	5.54821402675515	85.95906706158	3.77135572333061e-11	7.4056175696915e-09
22027	14577.2621408162	10843.8924027053	0.394024169695646	8.52868028257958	82.7828084079895	3.82804408086571e-11	7.41670780520796e-09
104010	1574.01100050511	1199.14654330736	0.424874292021454	5.40886537059662	82.1580987169177	4.23350696716597e-11	8.09435391314325e-09
22228	624.726505960632	393.893587621364	0.738390144551648	4.04356792236771	82.5810730317065	4.29697192389034e-11	8.10899987351305e-09
142980	301.968958084689	435.197245386904	-0.626198082487997	3.36148496049114	81.6623388101584	4.5873551210696e-11	8.54600734157209e-09
240055	1709.9456653816	2495.28817035978	-0.468116871275239	5.99727379600753	80.8274982411523	5.25533254063485e-11	9.66648571493229e-09
27386	289.212811847085	439.668654841206	-0.599364179002644	3.38701666035353	80.7413742182468	5.32984445463911e-11	9.68099622129511e-09
192231	2372.47977847104	1852.73487522673	0.37712753667319	5.96219400234649	80.3825084426958	5.65249801940381e-11	1.01403023111058e-08
58248	440.848934930694	327.022042145232	0.497813104423465	3.48265209054314	78.9101720252053	7.2076333347254e-11	1.27724536569384e-08
16881	353.037756297924	512.784836102984	-0.538740847754801	3.56232138562726	78.3441430725774	7.9200854390525e-11	1.38658748813099e-08
243819	8265.02180586089	7043.74658194173	0.265248722090708	7.82044129400517	78.0759336000613	8.28319996554631e-11	1.42470573445396e-08
15481	25843.2025532989	18860.7525581215	0.436714207736822	9.37984133941105	78.5412793614775	8.3339059547579e-11	1.42470573445396e-08
246104	930.496165139767	590.522602551629	0.65028337661869	4.52124739087577	78.3738514856207	8.69084262074847e-11	1.46844923397786e-08
18551	137.592684072374	236.841249200911	-0.681044844094812	2.35374180515327	77.2620187163223	9.49635643502186e-11	1.58610983169313e-08
231070	1708.92878992636	2344.85547014575	-0.430796613097883	5.83685512285676	76.7613200483461	1.03343738923929e-10	1.6957642882235e-08
270685	340.360450050022	497.996642444692	-0.578605501815317	3.4347211009373	76.7317264587607	1.03862791034266e-10	1.6957642882235e-08
53319	3181.44749115928	2587.5952635213	0.281732090581114	6.41296832987759	76.4482845425019	1.08975384604808e-10	1.75946812632496e-08
52850	6699.08662026182	4133.67556297479	0.701833747879572	7.36001480605402	86.2527119294168	1.11505755698774e-10	1.78053861105372e-08
67299	1567.4063655592	1887.67241830474	-0.300145154680258	5.57583973007292	75.5273255778727	1.27496170111526e-10	2.01374657379411e-08
210027	1521.40059166923	1140.92345184254	0.429211943137245	5.24340596759296	75.3812883990539	1.30724842447365e-10	2.04254052215339e-08
329910	1594.04993680656	1001.20969062683	0.67685084469267	5.29218215685319	79.660684263679	1.45158028771982e-10	2.24392693200603e-08
19273	2654.6695203118	1917.56210378043	0.484352434475799	6.06464142891947	75.0967727828539	1.47758160167055e-10	2.26007771093419e-08
226922	4922.43000082543	5818.58875777512	-0.270778614941847	7.22286836547468	74.2655505120923	1.58419193746324e-10	2.3979055253415e-08
