	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
56213	7045.59441614074	3557.42169988567	1.05574963533278	7.16273695348183	529.264629133373	2.00656588081825e-24	2.915740881417e-20
14623	2904.05194667221	1589.1834608042	0.950598709435251	5.95527148127093	360.234855822053	2.10005121705576e-21	1.52579221175186e-17
433904	3917.44666398521	2526.25633646561	0.685255195037004	6.49525027192062	351.480709632812	3.25042798457496e-21	1.57439896812862e-17
108682	2420.95099713848	1583.53453432655	0.628348246728402	5.87325239821944	237.256631380119	2.98040507721e-18	1.08270665442346e-14
20887	775.096076871967	227.713603540589	1.76770206008884	3.73274940511967	275.00629109291	7.7073094037318e-18	1.65451880869287e-14
76574	1687.31069651112	632.737334196538	1.43418619949579	4.92857432865645	288.306819459441	7.96622424938963e-18	1.65451880869287e-14
17181	1862.37526071396	1144.81177396005	0.789828706385962	5.47764638710032	223.816450396127	7.97029224475264e-18	1.65451880869287e-14
243911	600.57994810326	287.690201685117	1.09947132035167	3.62320217218154	213.186931113498	1.79954027255883e-17	3.26863996256904e-14
228608	1711.79783912506	1044.13727354668	0.74822204491969	5.28689638765994	192.046375191084	1.01252030192254e-16	1.63477027858182e-13
17067	1058.97275964707	660.252911555307	0.7334196208195	4.6616820594459	185.415172691029	1.79888482884853e-16	2.61395954479979e-13
22350	3748.33723082053	2228.71809532237	0.724016738000445	6.34304342627812	190.268816282256	2.04377138453601e-16	2.69982199897207e-13
22228	741.057951304454	412.816103955039	0.933505351284061	4.04345479347823	182.971338528805	2.2328658559376e-16	2.70381447938577e-13
106878	329.813321954928	124.157323632033	1.47224233067459	2.68754414622487	180.24468001293	2.90622699973418e-16	3.24849111793364e-13
104886	13561.8217653882	10655.3859963065	0.349702666016923	8.47484790392272	175.578770746451	4.35751307445605e-16	4.52278732035149e-13
67451	353.235505796829	151.263486338519	1.23197155181406	2.94408845260674	173.230299577308	5.4149309652118e-16	4.92555347471854e-13
330319	7237.19549241703	3723.61651730659	0.942039235925848	7.21919463145652	217.799824895604	5.42349842374899e-16	4.92555347471854e-13
21946	224.981017810823	96.5260405702475	1.29815481715742	2.28082665707314	172.062081392467	6.03837113932408e-16	5.16138653091283e-13
11744	1067.97850187826	633.998916816316	0.750528351527337	4.57657191791792	167.896751705615	8.95025363777843e-16	7.22534086725324e-13
20971	1689.81280445637	941.488289515009	0.86265512968161	5.22359100434714	178.593091231999	9.46939832397967e-16	7.24209616030256e-13
14605	2757.45955170578	1488.66383748715	0.928280572563737	6.0944162835249	196.36625205937	1.2038441111149e-15	8.74652938930533e-13
210135	1699.70965546637	1249.95734595074	0.44735479565069	5.44419472591675	162.652225185324	1.48600735039822e-15	1.02824632422079e-12
14184	5087.84592510108	3301.1543036351	0.649716080713056	6.8282745859209	163.236579590048	2.29330687081044e-15	1.5147291881703e-12
12827	6159.3385261465	3955.64447347651	0.634613893879932	7.13915008542107	156.259529924951	5.31215162961219e-15	3.35612501434325e-12
71840	89.4309575446686	8.30103746822379	3.43589191172763	0.314999994063068	152.978663253998	6.39405965327878e-15	3.87133670090808e-12
17750	3027.18922904558	1478.45192016157	1.17282431170999	5.82802348650365	197.219557638986	8.64928271500582e-15	5.02730908526998e-12
16525	4151.86899710846	3210.56743637191	0.409881077162144	6.68572027114364	143.326171486832	1.08721241657224e-14	6.07626293277355e-12
67203	753.95757588961	488.753751221287	0.622288702548135	4.11485633375876	142.932290957685	1.1346792430434e-14	6.106675585431e-12
15982	1746.0887029148	1321.61490433046	0.46407481175021	5.44839090282712	140.723522751122	1.44444174697757e-14	7.4961367947611e-12
68272	3235.61185912946	2210.85852723046	0.527306891970411	6.28169473396552	139.17429237672	1.71396627762995e-14	8.58815309663475e-12
53424	10729.5253079902	8520.90093403978	0.414226517980027	8.06803188269098	138.712110876659	1.80424214754289e-14	8.73914754864858e-12
14229	2737.09623038452	915.883285215745	1.57921527648857	5.66924939466581	205.919844669955	1.87368474910728e-14	8.7827461578316e-12
231125	1930.9518410454	2823.70824631931	-0.516908291044649	6.01096953750736	136.980436777789	2.18948211325801e-14	9.94230143367252e-12
13618	731.84691615874	1163.31133225401	-0.713239784485265	4.78364232059151	131.035633888821	4.3186106986642e-14	1.9016282443118e-11
140492	1275.33405979929	893.092515056347	0.5279619536844	4.87780382973845	129.711317618987	5.04052031749014e-14	2.15422943333674e-11
74762	1141.58390809623	534.995923537535	1.06016217668793	4.71192808308841	150.744377502399	5.65106766195663e-14	2.34616183416834e-11
241764	639.814876665291	1036.21725078263	-0.708449297302029	4.63517530981658	128.17408381268	6.04044051729111e-14	2.43815669879881e-11
74008	303.348253108158	548.951445442676	-0.882495257899389	3.60568470192508	127.527679515072	6.52130633024749e-14	2.56111087256287e-11
56741	1723.92723835565	2588.28617134977	-0.614100621813186	5.97940952054316	129.527122461893	7.00657724865692e-14	2.66366301610711e-11
236848	1529.32969573907	1071.61568942983	0.492770328132223	5.23560132588587	126.755421415961	7.14905083120068e-14	2.66366301610711e-11
74229	5034.83520595644	3376.03642409336	0.549586422686305	6.90783263628315	127.658083744116	7.47625029454188e-14	2.7159348257497e-11
75695	3019.62277417515	2244.45168020003	0.458412988056656	6.30528180359163	125.376485060205	8.43308014994021e-14	2.98880701606783e-11
57435	1114.9767625305	78.9694242345412	3.73479570891111	3.93914843352438	187.086884524962	1.0000656056004e-13	3.45998888451892e-11
20563	1311.89197247707	1980.60692737722	-0.590187814933841	5.50245260580331	122.80996532234	1.15116187099832e-13	3.89012398778527e-11
108069	1595.36360956673	2253.38901741144	-0.50630333746635	5.77919314855648	121.296903840313	1.38620837025347e-13	4.57745316361305e-11
12696	1398.09791507638	2461.36506699076	-0.721480248132372	5.67815234551696	132.481641434559	1.41755827102462e-13	4.57745316361305e-11
76295	3636.84087821511	5375.35574321014	-0.557953706125855	6.97624690861386	122.831136347296	1.68098827889098e-13	5.31009580012279e-11
56175	53.2060728815629	149.076149956806	-1.38042588420517	1.50246242588482	118.397491247222	1.98894759883891e-13	6.14923352313367e-11
80888	568.288805695434	365.551369616466	0.678272578887098	3.63031458840455	118.044552184835	2.07925673720257e-13	6.29451659339386e-11
22027	14839.4452230212	10809.1170375679	0.447980480984662	8.52867482586247	117.323706192282	2.2773598142893e-13	6.69323962438251e-11
17748	3957.68730688785	2518.48304851492	0.807676218154259	6.39563457518084	141.495336245075	2.30308981638652e-13	6.69323962438251e-11
17060	632.160918340642	416.362813186323	0.624090284230231	4.00816354571132	115.167618100121	2.99747027359954e-13	8.54043932268135e-11
19731	4908.53710896934	3668.92215173621	0.442714022575091	6.9691619409044	114.25730286684	3.37007892829981e-13	9.41742632829319e-11
210622	1422.44401283643	2135.70636305883	-0.524696543218423	5.59800767518545	113.523412524414	3.70583285752397e-13	1.0160274953336e-10
100502895	116.701374893126	29.1906095182194	2.00701019321299	1.1955099245308	114.630472139091	3.89683830829912e-13	1.04861032329434e-10
