	KOHC7	WTHC7	logFC	logCPM	F	PValue	FDR
11434	209.440012100791	107.079417697575	0.960793598410151	1.91347685031012	94.6091925992871	5.09656137292708e-12	7.40581333100034e-08
16476	1960.33079095533	1441.667164212	0.434320323220853	5.70375517071746	64.6042179888443	8.76907111546632e-10	6.37116861894205e-06
68708	1036.18880494739	1281.60421503033	-0.335822773676099	5.00590434895249	61.1231009379591	1.56520298951233e-09	7.58132154686791e-06
69440	3080.11688520865	3631.17792663704	-0.282704971671403	6.39777033882189	39.9780164375768	1.78150965810209e-07	0.000647177921047036
12919	775.037554946689	576.108118405102	0.435352898435172	4.34373002942771	30.7497347465907	2.72125283872196e-06	0.00790850499989377
21685	12866.5924751552	14518.8748595026	-0.198314935351512	8.54879133404427	28.1081131912785	4.70880289624302e-06	0.0114039358142179
13367	1748.14236853164	1956.3972778872	-0.199571993728023	5.78666414097741	26.7766366688104	7.05986923820037e-06	0.014279385035359
66725	1541.5107299842	2009.76073064094	-0.39833113805914	5.97513173693323	28.4187620678424	7.86147410934363e-06	0.014279385035359
11516	1258.48033977841	971.691933031273	0.42353692637469	5.02914709943962	26.8769513371787	1.13213260636354e-05	0.0182789098922984
243813	285.572881933827	232.442324087374	0.30905049476725	2.86224164701496	23.4435021400882	2.02494590682423e-05	0.0275521474426045
53324	2352.99620916876	1716.43029433727	0.431946327774656	6.12225006796881	25.4294812083699	2.18397212383072e-05	0.0275521474426045
170676	718.717606754687	582.154343918323	0.308323942272182	4.42523523481345	23.086118669298	2.27531325656358e-05	0.0275521474426045
14860	1075.53715945605	1284.37535637335	-0.248888794217221	4.99821762649921	22.6616373281495	2.61570031236779e-05	0.029102833105722
72349	8147.61986337908	7530.54852300171	0.126267176007495	7.77242021280498	22.4512355507094	2.80393409593358e-05	0.029102833105722
237761	1754.24354922203	2033.41614314593	-0.23794805357239	5.98762812911015	22.03498218539	3.23962225120141e-05	0.0306759648342519
223828	1023.94885859063	1238.33523004851	-0.235358181947164	5.05764659289475	21.8744856352385	3.39687003678268e-05	0.0306759648342519
106014	3416.37720305866	3852.36372974538	-0.177138289779963	6.70749682772571	21.710313262354	3.58881977965922e-05	0.0306759648342519
67808	4573.55832214063	5008.24988814451	-0.153917734073592	7.09463153017009	21.3143119714186	4.10041730663251e-05	0.0331017577125984
223827	738.874335042739	622.724103270171	0.244616594508684	4.27132168223387	19.4441810425778	7.7972329598451e-05	0.0596324169155311
67383	60.1341705841309	89.0795427510045	-0.507543754903677	1.20158444061433	18.8893583266033	9.47676498819511e-05	0.0668286694569316
26395	9437.82847500899	10319.9778189371	-0.144466200860872	8.0828715568413	18.8291840513818	9.68061864243583e-05	0.0668286694569316
26417	4675.59255565515	5339.20369039335	-0.22427592382085	7.07088296196463	18.9921718295732	0.000101178909094522	0.0668286694569316
217154	4900.81213140846	4261.1022114637	0.183734618197975	7.05115127470239	18.1826755453837	0.000121869856599611	0.0769952559238673
12575	628.665156450681	469.480585432298	0.393778100111436	4.77909774355277	18.3402361616016	0.000152111569651167	0.0897967335612789
384061	2960.87529043226	2652.80232394718	0.16280374591041	6.25986525580396	17.3849908330462	0.000162571632014463	0.0897967335612789
20254	8466.10847696284	7476.11765000488	0.216067045425422	7.99370670052045	17.726885218357	0.000162856545254074	0.0897967335612789
75394	31.5081873797359	47.091087298757	-0.649727507789256	0.0715104325548289	17.2710604139678	0.000169466219028404	0.0897967335612789
19418	8488.82557581234	9374.3183494079	-0.159744698584962	7.89651777773508	17.1906225153133	0.000174519426418351	0.0897967335612789
57274	62.3958551843812	31.9243133961461	0.874986350555768	0.596051734970125	17.2033820467896	0.000181583557625684	0.0897967335612789
17311	1771.60360605572	2258.21110582286	-0.292548152181133	5.93969408043162	17.7616023107021	0.000186357160633506	0.0897967335612789
272538	215.386452900399	171.893229155901	0.328136798828159	2.50279475851837	16.9363011053889	0.000191569660752849	0.0897967335612789
103551	2251.57901017655	2623.00183269016	-0.256578256701602	6.2076618319781	17.1670690594782	0.00021133932597233	0.093829708948087
238323	1978.74135385606	1706.23682946554	0.18570940629833	5.62026990700751	16.6474709261335	0.00021308790828483	0.093829708948087
18628	2128.44232753689	2381.86448665466	-0.222446189090202	6.0228303880851	16.3552123665263	0.000254163792408446	0.108625119631975
100689703	241.949600374521	196.001386887217	0.3101057216338	2.44501450736191	15.8775631863219	0.000283893473276666	0.117864458862378
107503	406.454768235688	333.709099901955	0.303644675445266	3.3334062536289	15.532529569191	0.000323333639759704	0.128207331193871
53357	1072.52280487855	850.022841529832	0.289573311880531	4.69867417654174	15.7909195178804	0.000326451810210806	0.128207331193871
53378	5841.35440242623	6555.9613051806	-0.139372281319594	7.42051119027995	15.423691565714	0.000336944368710826	0.128845753203605
70435	7144.29032607475	6113.33018151469	0.204315040428319	7.68343516064977	15.6112555590195	0.000348356216577226	0.129793953412402
60596	4759.87932316097	5499.77408138296	-0.181485219144945	7.06017668261513	15.2786815394139	0.000358782802490723	0.130336822574817
233115	1369.59684006268	1585.37399930308	-0.224735932956041	5.57781643095013	15.1897624076311	0.000382839833787859	0.134056177238608
17293	68.6162596642831	31.8769742018793	0.960518313708547	0.529288060448422	15.4301421078588	0.000387472262337178	0.134056177238608
269109	7666.35287286289	8438.4127477086	-0.117011708694009	7.70863463222696	14.9601402547645	0.000402066875116208	0.135870552611945
20392	821.079627531004	725.530674669344	0.201032737736496	4.47367556629563	14.829153047474	0.000422788416242065	0.13700779609227
