	logFC	logCPM	LR	PValue	FDR
634104	-3.00479610740845	0.248816467860019	37.3165588573086	1.00428258797444e-09	1.45159005265825e-05
73284	0.46797346106303	4.77032058140888	34.124997585997	5.16830461863501e-09	3.73513374788752e-05
12123	-0.270669151725157	5.7998187144068	18.4520981430377	1.74228903794584e-05	0.0551362646096599
269589	1.27913573128983	1.13057455798252	18.3409331096715	1.8469585854596e-05	0.0551362646096599
13108	-5.22621400183092	-1.69840858421268	18.2796872619714	1.90730125258267e-05	0.0551362646096599
67945	0.188497604565627	6.91063850455358	16.4111204435854	5.09852338645966e-05	0.122823428379813
19944	0.219209098795591	5.63310693726277	16.0186306414292	6.27222224487822e-05	0.126602952616053
236920	0.197359628423267	6.03069529630878	15.5989087271984	7.8299765040331e-05	0.126602952616053
18164	-0.186667064009422	9.16876509280953	15.5861181056007	7.8831228278987e-05	0.126602952616053
320506	0.394972702549039	4.04390784787565	15.362707308901	8.87221984653095e-05	0.128239065661758
106759	-0.364696185784874	2.7609625464908	14.9444332036501	0.000110724266569129	0.142749499144233
53625	0.240126486215936	4.68839789074952	14.8161931472819	0.00011851349036466	0.142749499144233
320563	-0.201399097908785	6.74514018226682	14.2434832280428	0.000160616001972808	0.166403223460623
107869	-0.532286472843537	1.68680938309891	14.1850405026384	0.000165682507013838	0.166403223460623
109901	-1.69691282872291	0.141569575375617	14.1071175216057	0.000172689106953739	0.166403223460623
333088	0.550940227369074	1.69857921136835	13.7330246997687	0.000210716566304355	0.188098502444589
108097	-0.173854125343344	6.15243523368366	13.6415806251721	0.000221231115370003	0.188098502444589
16476	-0.272851757992569	5.73169494261427	13.4107475667536	0.000250186687052679	0.195178397180119
19009	-0.252610965402818	7.09942884871806	13.3635300012831	0.000256564933334874	0.195178397180119
14313	0.688580104236827	1.61817333107059	13.1520176713778	0.000287209803936734	0.201475352092948
140792	0.333127912082575	3.26905531936946	13.116409349267	0.000292720519852769	0.201475352092948
244954	-0.435124540839671	2.84913238986111	12.8566116412297	0.000336288955196437	0.216353732736099
50708	-0.357317051779099	3.14001951622252	12.8127022431489	0.00034427396242772	0.216353732736099
13087	-2.4497306670985	-0.2850258064773	12.4153935731492	0.00042580926330625	0.256443628826189
72225	-0.32343087202192	3.27354339506355	12.226627460882	0.00047112280720054	0.272384362211064
19418	0.14810562406392	7.87402364167688	12.1144989675612	0.000500312791833663	0.278135426660145
21847	-0.432800618664677	5.21425285636685	11.8311911376167	0.000582467219037952	0.306719258459484
22146	-0.427359171166534	4.40675945711985	11.7941528942863	0.000594170419044247	0.306719258459484
18438	-0.250666551200978	3.88867336913052	11.5937537682363	0.000661737044125669	0.319204680908335
53324	-0.317119503730126	6.15838718605808	11.5747149581196	0.00066854683272011	0.319204680908335
14264	0.424117964786415	3.94631479064789	11.5305720164089	0.000684609458154032	0.319204680908335
11984	-0.195561307101325	7.98124157701218	11.3879637223046	0.00073921518234596	0.330636128654007
77781	-0.202642792610357	6.99104541388629	11.3490222494109	0.000754877006059376	0.330636128654007
19204	-0.84234805610786	0.0230863946570977	11.1740111295246	0.00082951095578886	0.344042028572868
74931	0.706485062706697	0.617986735619238	11.088356387748	0.000868714462440625	0.344042028572868
414093	-0.266446309108434	4.04396891220805	11.0869468571239	0.000869375021796769	0.344042028572868
15561	0.526177317328051	2.97325074953193	11.0627032505602	0.000880816294988897	0.344042028572868
226101	0.421332107779779	2.52900657784409	10.9993941224127	0.000911416763587156	0.344042028572868
15331	-0.597942992381111	3.89184683198733	10.9653794334591	0.000928299371408734	0.344042028572868
103098	-0.165437811279769	5.45035199231101	10.9042141983918	0.00095945731896486	0.346699902207952
54200	-0.387142442568144	2.61914552374597	10.7309204068819	0.00105360027238995	0.371432642368887
18187	-0.209157138361821	4.8244983795197	10.6131882686145	0.00112283915248246	0.386417074047179
102623	-0.224804190891756	7.07463215133382	10.5519215660929	0.00116067359588285	0.390148282671877
240427	0.161136843878643	5.68515622648957	10.2457372124474	0.00137000821672017	0.448498100518866
11761	0.338067520845584	2.86008201960648	10.1436199125367	0.00144801530872638	0.448498100518866
414095	0.55528206955654	0.787202222043279	10.13462855301	0.00145509562736675	0.448498100518866
217294	0.612605221552709	1.00282247830063	10.1304739360623	0.00145837904555049	0.448498100518866
54524	-0.240369517428868	5.05896338766609	10.0048661140399	0.00156127141287979	0.468807289919271
68713	0.724618263323503	0.168114340900908	9.95407583391298	0.00160493673682958	0.468807289919271
22036	-0.462925945531465	4.04446006683089	9.88439656264454	0.00166686185437289	0.468807289919271
19011	0.698527090690788	0.802795055424571	9.82695279929015	0.00171973018822325	0.468807289919271
170742	-0.536602055739213	0.98403795476905	9.77020411137841	0.00177362762032528	0.468807289919271
