	KOCTRL	WTCTRL	logFC	logCPM	F	PValue	FDR
68708	1022.67262341357	1310.70233064534	-0.368346823489447	5.00590616509266	149.777003667464	1.95612816999857e-15	2.84244984382493e-11
11434	206.684820364494	109.825955972415	0.925920193642688	1.91335800420861	132.87526899662	1.37451440218127e-14	9.98653438904802e-11
16476	2054.10548363319	1548.70450158513	0.400456021163794	5.70375538721566	75.1282614890089	1.05486720022244e-10	5.10942509547745e-07
66725	1556.27297268546	2091.97861557977	-0.427475398752073	5.97518460787696	64.7129319690761	1.13155442218105e-09	4.11065432717822e-06
69440	3084.14260408513	3699.82605173464	-0.262728773135856	6.39775031257441	54.4363009193586	4.21655296250907e-09	1.22541462196439e-05
19418	8164.69656872407	9296.831493928	-0.208424140735962	7.89651576386	49.4955432006548	1.2972520433151e-08	3.14172824023529e-05
11516	1301.30930000765	980.923227176975	0.441086084605393	5.02914916054295	49.7622503924835	2.37509629352248e-08	4.93036060588216e-05
21685	12500.9975900345	14176.5043407764	-0.20314734715495	8.54879197445338	41.8755968511234	8.35427081375805e-08	0.000151744886493398
83762	1825.3806646983	2333.47780272916	-0.431851671032851	5.81631856757215	44.0321633986807	1.16318940255968e-07	0.000187803391206608
53324	2521.93790522056	1901.3901575741	0.431267816087279	6.12227978667264	42.2543759420055	1.83253094262536e-07	0.000262695882012538
106014	3462.04784283127	3883.36475181759	-0.164208661847574	6.70749978023391	38.55566336789	1.98861379267629e-07	0.000262695882012538
74127	288.325726291166	194.095487678402	0.541644279977401	2.92805144829995	35.4319754413233	5.96742898891465e-07	0.000722605921982657
20254	8697.37546076577	7454.54511718543	0.239723059213617	7.9937143267387	32.9833433589314	1.2378811398525e-06	0.00133702099908359
69908	1958.39206618455	1725.64304823289	0.196056611127837	5.68054791769061	31.6682381639244	1.3637937017951e-06	0.00133702099908359
13367	1772.65409760792	1941.80609070569	-0.157314076410795	5.78667290781832	31.530327534535	1.42011992149987e-06	0.00133702099908359
14860	1078.3052646975	1248.74134425658	-0.221395760390617	4.99821680800822	31.4078588561316	1.47218608391284e-06	0.00133702099908359
72349	8202.90302434318	7587.57397578886	0.105572439698068	7.77241897111091	30.6992469174061	1.81548027071148e-06	0.00155180845962991
223827	718.169933265958	612.207897857943	0.222782884242017	4.27134660348192	29.972235852727	2.25616683628445e-06	0.00182135334989163
223828	1042.48881736627	1205.62823647892	-0.211780657561816	5.0576592565006	28.3509670896843	3.6945555962615e-06	0.00282555722996189
75394	30.8862659606512	45.9164178033538	-0.596860544792413	0.0715213545557012	27.1536169451313	5.36012123502844e-06	0.00380348109220421
98170	11119.2592707409	10246.2916441441	0.128000794747841	8.2039501244595	27.0734313375826	5.49673821046647e-06	0.00380348109220421
12919	779.585816166872	635.935430437796	0.309420954289003	4.34374294250472	27.1584214365424	6.00162007258748e-06	0.00396407005794403
67808	4631.95163335728	5025.08321973043	-0.1232280657924	7.09463699448424	24.4625731397146	1.26970730842777e-05	0.00786499266641527
238323	2000.09809254973	1792.67150018788	0.166352892279901	5.62025510650389	24.3929279356086	1.29901468580254e-05	0.00786499266641527
11984	9881.77751530008	8632.99658139132	0.203891803105216	7.99932664933011	24.2609504667318	1.62749811572407e-05	0.00945967004783457
69219	4075.78470647194	3692.77251452066	0.121661147985718	6.81637786757482	23.5557034937418	1.71256427602035e-05	0.00957125826725064
223881	1161.51204073521	1017.47563848207	0.180018032928335	4.94525981636627	23.3543690160612	1.83131280549426e-05	0.00985585421356932
13712	2647.6848656667	2875.52038731007	-0.15011726482736	6.37929969624577	23.0676607387898	2.01555517197955e-05	0.010127249119422
227733	403.346348471338	343.842804669697	0.21590755932197	3.20230278136169	23.0594220291405	2.02112878991975e-05	0.010127249119422
20855	108.472643755775	139.414307113033	-0.414652752285742	2.13354833377876	22.935729113576	2.10678342337846e-05	0.0102045566417041
225849	5012.73695164089	4652.55481588867	0.102513122065851	6.99773191325597	22.6130213748263	2.34869629224662e-05	0.0110093244589147
26417	4808.98461130046	5411.42301614749	-0.178531852682382	7.07087487550785	22.5184315035035	2.52932597844734e-05	0.0114855111852557
18628	2006.44828494013	2333.12696086092	-0.229460263799734	6.02284696274162	22.7323160937065	2.67369914522106e-05	0.0114947526653893
217082	7347.80528958979	7992.64102107786	-0.13250093247951	7.84880044326559	22.1483493747371	2.749536011869e-05	0.0114947526653893
271305	628.521522482621	536.209171161841	0.218446623514702	3.97276019231929	22.1279770374613	2.76867623211497e-05	0.0114947526653893
60596	4835.94716050524	5350.06931596064	-0.155471725920305	7.06015947290179	21.2173403263056	3.78473115792815e-05	0.0150803022615925
231148	5754.36394784905	6175.7036354552	-0.125789583960664	7.47484284742354	21.1755573822724	3.83986775637548e-05	0.0150803022615925
14561	236.829442343107	198.888409026243	0.228651646834221	2.54424338551289	21.0924453797383	3.95206656940143e-05	0.0151124945578874
381677	5635.26009922973	4708.75844338169	0.284526638666932	7.42302442943398	21.4700041403319	5.03246655836094e-05	0.0182982431280454
100503659	8764.80787362983	8182.90203819754	0.116029729839512	7.87734835489887	20.3972438901473	5.0370224012237e-05	0.0182982431280454
243312	1294.85268781892	1164.66834253951	0.130870980341575	5.12358794813058	19.6842390348511	6.48029426032669e-05	0.0229671111943432
12805	17020.7541697101	15942.8187412372	0.108207647360959	8.82570742195102	19.5804061423727	6.72431223865822e-05	0.023185330020022
11686	167.030734780878	215.542915497991	-0.402363391127117	2.94831033410688	19.7229187699709	6.95858729299398e-05	0.023185330020022
