	KOSD5	WTSD5	logFC	logCPM	F	PValue	FDR
68708	991.260661332512	1272.35359965694	-0.375993618938535	5.00572249717838	67.092836424765	2.29062843316936e-08	0.0003310874337303
11434	122.58435662104	65.3848703756912	0.866946557837068	1.83451840501679	47.1742085049205	4.51147183770026e-07	0.00195878244959001
223827	795.792842714726	672.947374294165	0.307964324399545	4.27065389954649	46.5224174513612	5.04370174150476e-07	0.00195878244959001
69440	2328.86284191528	2816.44138503657	-0.284257450281436	6.3843124490031	47.3656937289524	5.42073460520274e-07	0.00195878244959001
66725	2284.45943160987	3060.871778417	-0.308703956293527	5.9833815243077	47.4186222101629	7.3082288152468e-07	0.00211266278591154
14313	181.977922982332	109.572944546133	0.813503831047218	1.66420300668301	43.5839165695748	1.07593585531118e-06	0.00259192947544463
380967	507.72285455583	678.728048356229	-0.453954475018683	4.23212164939759	43.7099339626924	1.4148340705019e-06	0.0025954543564602
73284	1065.20274470813	820.384189473839	0.359869471691872	4.7593488226137	41.944630664954	1.43653209157891e-06	0.0025954543564602
217082	8147.27020643253	9357.31231996079	-0.180865593249888	7.81921417149653	39.7449137173326	1.72052723802086e-06	0.00260378354787696
20604	5844.27117948667	4924.04758593818	0.262854879358231	7.29057148236627	41.7964724662422	1.96717858747976e-06	0.00260378354787696
20346	1114.70568845246	974.020910201371	0.251788509005619	4.7713609215852	39.0092590685822	1.98157043217424e-06	0.00260378354787696
634104	5.90605631069375	75.1232013128263	-3.68049932335851	0.300956139648285	56.8196711960781	4.00578480223072e-06	0.00451786203899102
238384	1228.50008598788	1455.67558939002	-0.240826626242102	5.13398035571483	35.4036601849049	4.06338774781259e-06	0.00451786203899102
108097	2668.22651128955	3057.52609637992	-0.177447247391506	6.15918352291844	33.6356296525321	5.87651399341286e-06	0.00591988327866595
17181	1801.12055906675	2107.47206802742	-0.253293330233143	5.48657061349405	33.5415000809953	6.14350693095262e-06	0.00591988327866595
100039826	444.161716761042	322.528720903478	0.460170974553382	3.37906264483482	32.3593075579297	9.94065871016684e-06	0.00898014256229697
19009	4071.20035843124	4969.35201687225	-0.296549459347036	7.0980066996686	36.0062988819965	1.24330559966218e-05	0.00944378887663407
223828	1169.16186192285	1398.15373900051	-0.233655394337106	5.06342793788967	30.1809302149364	1.2521203964092e-05	0.00944378887663407
56233	1353.64480139267	1570.57700609828	-0.235041579919103	5.55513594094872	30.028909481631	1.29599933474332e-05	0.00944378887663407
16524	5534.1963413427	6082.93509322122	-0.142910135546704	7.41974389057342	29.9925589021398	1.30673707992723e-05	0.00944378887663407
240185	7712.3183749654	7052.12129403862	0.173127606573536	7.57021704262131	28.977467820593	1.64929177077337e-05	0.0106396515452933
103098	1376.45400533557	1551.47089960084	-0.177647500919841	5.44651807763249	28.9147794933721	1.67343396879483e-05	0.0106396515452933
