	KOHC5	WTHC5	logFC	logCPM	F	PValue	FDR
66725	1744	2975	-0.453067502766574	5.97128409803895	101.606865196017	1.26827279529578e-09	1.43311028780782e-05
68708	1131.6	1853.6	-0.398706362265558	5.00687736844254	85.2875528207164	2.43026546556048e-09	1.43311028780782e-05
19418	8774.6	12736.6	-0.24832477377436	7.87402344641417	83.4715423469717	2.97449208760444e-09	1.43311028780782e-05
11434	225.8	158.8	0.785300727447847	1.87120018725038	60.7704060159144	5.23383711297096e-08	0.000189124704077206
16476	2421.4	2312	0.373256182330294	5.73169539689275	58.1053073168928	2.43119788464319e-07	0.000702810684492654
69440	3442.8	5178.6	-0.26878551116587	6.38923858275181	47.0155906243445	5.54145841208544e-07	0.00133493733147138
83762	2151.2	3411.6	-0.418896908777417	5.87637057463222	56.6252331754258	8.36063049247954e-07	0.00172635075911856
16835	1341.2	1331	0.301679541394243	4.69832304241276	42.0154889922278	1.09269874320747e-06	0.0019742334542901
69219	4713.2	5069.4	0.183006053486279	6.82683075814129	34.9740721492786	4.33704200575672e-06	0.00696528946124529
18628	2105.4	3134	-0.266436821107733	5.98221151860651	35.6210735030062	5.84052063360988e-06	0.00844188852381972
20677	789.8	815.2	0.288783727468425	4.06537483961517	32.4760336112288	7.37336428766996e-06	0.00968860067399832
18030	386.4	360	0.436968594427248	3.34051721859101	32.281285792329	8.72679040906322e-06	0.0105114190477166
20604	6982.6	7553	0.223120813646978	7.29136108762009	31.6966571874597	1.34802176702482e-05	0.0149879281696744
13712	3006.4	4072	-0.158985692160023	6.39810945552609	29.154303658308	1.55328637525116e-05	0.0151782786697805
12805	18886.6	20971.4	0.159321409778169	8.7932404924572	29.084469723331	1.57863108387237e-05	0.0151782786697805
12153	3993	5515.4	-0.185313890116258	6.66025370815807	28.8163953187556	1.68017475243177e-05	0.0151782786697805
74127	336.8	287.6	0.588965119878076	2.98568846992256	32.1689008240003	2.00297017764256e-05	0.017029959380968
11984	11093.2	12036.2	0.199343255704278	7.98124101276324	28.3607655782065	2.62450723978365e-05	0.0210747931354627
231070	2763	3059.8	0.148878233338794	5.79593738346813	26.2192951568103	3.1291125040029e-05	0.0238043116488726
211232	3970.4	5469	-0.156876430266851	6.60168884154121	25.6232762171813	3.62651239496925e-05	0.0258834649550305
20356	2100.6	2302	0.200961245450042	5.63053767255292	25.4777766999362	3.76056983572464e-05	0.0258834649550305
21685	13592.2	19129.2	-0.190344952464357	8.54059242121605	26.5464212030462	4.05834593230091e-05	0.026663332775217
72349	9281.8	10603.4	0.114344786846445	7.77628444998189	24.8596180883608	4.39323515364315e-05	0.0267165031565111
21941	76.4	140	-0.567990145016673	1.12598168396331	24.8212785339302	4.43611509448088e-05	0.0267165031565111
76645	38.8	71.6	-0.588650880461142	0.45003011885893	24.0514794253968	5.4007902380697e-05	0.0306991135873438
72301	2695.8	2958.6	0.175725230939988	5.91033129059942	23.9653338209512	5.52218730642686e-05	0.0306991135873438
269589	52.6	162.8	-1.14936067072876	1.13056839391678	29.0708511889558	6.28744147682197e-05	0.0333289799431131
11516	1517.6	1382.6	0.45365020319357	5.00005736747821	31.4074341979093	6.45642340118422e-05	0.0333289799431131
223827	777.8	827.6	0.211846374404567	4.26138635592629	23.0938996069224	6.93145382713852e-05	0.0338771292186593
217082	8003	10672.4	-0.136013794789683	7.81723063920619	23.0396008106953	7.03136762529251e-05	0.0338771292186593
24066	482.4	489.6	0.267307096110515	3.86693877670541	22.6618427379608	7.77133096359703e-05	0.0352873303114603
53324	3068	2886.8	0.425492266388977	6.15839030887739	32.0086553753177	7.81792622248883e-05	0.0352873303114603
433586	409.6	399.6	0.303335792350852	3.4528874480095	22.5266035880411	8.05646810763933e-05	0.0352873303114603
15357	6732.2	7507.8	0.163856044229483	7.24874859427866	21.8531870491579	9.78200380643571e-05	0.041585024417124
238384	1241.2	1725.6	-0.184850389382641	5.12825701428343	21.4956607539231	0.000106432833265191	0.0439537192004305
69908	2249.8	2415	0.205573250342467	5.68238465642307	21.7426766874769	0.000114655680436853	0.0448446139334106
19736	28201.2	31261.6	0.152168783166744	9.32749194181498	21.475705013153	0.000114795261902324	0.0448446139334106
20849	122.8	112.4	0.459915259648614	1.25672149701688	21.0407798526967	0.000120608454978271	0.0458756475856823
232370	20323.6	23074	0.13856449478327	8.91903856892052	20.7386654962897	0.00013115120537282	0.0486066544220189
81840	2501.8	2781.2	0.158832548184883	5.93386628233555	19.9661579146672	0.000162952066228017	0.0563273604007844
171180	1499.6	1684	0.150490182046819	5.22679093660557	19.9144023623072	0.000165364057850666	0.0563273604007844
54006	1765.6	2421	-0.141874488706382	5.42184342211272	19.771633097292	0.000172221177473987	0.0563273604007844
64099	301.8	298.6	0.297447733116897	2.69355299146378	19.7374628296904	0.000173907815633793	0.0563273604007844
72168	5309.4	7396.6	-0.191215477783649	7.18027900634878	21.0185322978246	0.000174169242081276	0.0563273604007844
320506	498.2	786.2	-0.286939774558346	4.04392101762852	19.7431695614381	0.000178566980293637	0.0563273604007844
223881	1366.4	1467.8	0.1995745127131	4.96948024750439	19.5789360890153	0.00018197114033827	0.0563273604007844
14860	1216	1675.6	-0.1857402518923	4.96951434842772	19.5333332415567	0.000184365327889597	0.0563273604007844
215707	2942.2	3990.2	-0.12288083199222	6.32822596808784	19.4828379206871	0.000187056406478321	0.0563273604007844
68203	21536.2	24932.2	0.114694122107657	8.8952030908991	19.2532583897259	0.000199841910150367	0.0589492850880288
26417	5513.6	7525	-0.153188983600931	7.08675723653748	18.5648033117931	0.000246816487389156	0.0713497101744571
19944	1961.6	2661.2	-0.145099833298196	5.63310575999132	18.1774044872956	0.000273846789836927	0.0775492171917288
76795	10231.6	13556.6	-0.120110341494975	8.04100672935267	18.0626819994203	0.000283350010519049	0.0775492171917288
231148	6556.4	8924.8	-0.149501753303371	7.53470805640109	18.1245529104829	0.000285263460416536	0.0775492171917288
338372	6006	6837.4	0.123096923669442	7.10322151675213	17.9880670553058	0.000289723102833358	0.0775492171917288
50706	132	236	-0.58219517568439	2.08777139355302	19.5278103184272	0.000303253953523286	0.0789326126761316
286940	4323.2	6305	-0.229921573682016	6.85352807210173	20.3656337194556	0.000310892061040229	0.0789326126761316
269615	4934.6	6586	-0.129655909618235	7.02362315516267	17.7483729833807	0.000311274313168639	0.0789326126761316
114565	818.4	888.2	0.191023153113674	4.30739218307185	17.6431781839998	0.000321278004324691	0.0800646943880876
14284	1137.2	1041.2	0.434418777940861	4.95024536917591	22.5759189546186	0.000351505182565346	0.0847702029920764
16581	23109.4	30905.4	-0.113595488438474	9.15625339746455	17.3421483244904	0.000351889593159304	0.0847702029920764
70439	2151	2387.4	0.127574633150769	5.67145986874755	17.2357960389107	0.000363451764240702	0.0861201934481164
20190	2117.4	2946.4	-0.178122170850068	5.79760153038628	17.371205100755	0.000378370638223486	0.0882091807239074
72290	1671.6	1810.4	0.188701926550473	5.59103321646084	17.2048313007231	0.000396204993751655	0.0909007457093082
100503620	40.2	70.6	-0.512021547731992	0.211626250035193	16.7566312884902	0.000420927395500672	0.0950638214776049
52430	627.4	886	-0.236523656007663	4.06180969646336	16.6498341234585	0.0004350426382223	0.0956746065885754
73826	3316.8	3691	0.140227490916272	6.32957184852311	16.5983092872245	0.000442036174714068	0.0956746065885754
237403	1261.4	1404.2	0.173841374593894	4.98188918701456	16.5424019883097	0.000449763265742348	0.0956746065885754
56219	3702.4	4987.8	-0.118756036408997	6.4954811578738	16.5399261200848	0.000450108845165568	0.0956746065885754
13199	40892.2	53168.4	-0.111957883866958	10.018567704123	16.4507879408723	0.000462745285010507	0.0969350775295923
271564	2137	2910.8	-0.125409280217042	5.9304612193026	16.2206778484823	0.000497187676742474	0.102448341065519
22234	4496.4	5086.2	0.11138211772822	6.73702640140283	16.1586970239544	0.000506935168823657	0.102448341065519
59012	346.6	353.2	0.26664848144922	3.03630687057122	16.1374273041952	0.000510327975419773	0.102448341065519
68525	1259.4	1764	-0.194216839942047	5.18716460169929	16.1080217582694	0.000549745134704277	0.108849536671447
100163	371.8	625.4	-0.382050599816264	3.38441638306063	17.2521196574112	0.000583414276444281	0.113954999347644
18791	1296.8	1370.6	0.190408905115268	5.18947008732664	15.7486683863727	0.000600460242328784	0.115720697901603
24064	1728.6	1936.6	0.155068910258768	5.48086309025186	15.5246577924837	0.00061952105252462	0.115808377005609
319765	74.6	64.2	0.482011293056833	0.647302683687955	15.5207403549344	0.000620296184368839	0.115808377005609
227733	463	498.4	0.216407972383002	3.25876100743775	15.4973229426757	0.000624951806173894	0.115808377005609
14766	2322.6	2582.2	0.136709199697078	5.93750646484815	15.4551280175864	0.000633436958002002	0.115894908746341
56233	2026.6	2768	-0.157654482238879	5.56192205681249	15.3432131836235	0.00065655632283926	0.118623313628983
70435	8333.8	9376.4	0.140521949911448	7.71983181124334	15.3530170482058	0.000692765778998574	0.122692941875146
20855	119.6	190.2	-0.400543994066666	2.09852429860123	15.1299191754705	0.000703205614758399	0.122692941875146
78603	394.4	386.6	0.306050246995293	3.12181611661661	15.274737172484	0.00070602185474829	0.122692941875146
22353	2437.2	2670.6	0.152324402584572	5.99434933137854	15.0869440749382	0.000713034946555436	0.122692941875146
69120	40.6	67.6	-0.448201777705975	0.239861645141933	14.9798880891471	0.000738178046664426	0.124475338930349
14176	124.8	120.4	0.359317202096132	1.49997443899375	14.9584092803487	0.000743337983087816	0.124475338930349
67155	15546.6	20122	-0.10075428816396	8.69734982633368	14.9009204793518	0.000757343113150133	0.124475338930349
75394	34.2	60.8	-0.557187814562716	0.067105981450173	14.8988992270647	0.000757840724081272	0.124475338930349
76273	4030	4687.2	0.108693772210199	6.63362856772678	14.7711053002093	0.000790037383270297	0.127770698988932
20254	9918.8	10131.8	0.26562762466315	7.96578690623857	18.5362474304599	0.000795583430815267	0.127770698988932
18187	1322.6	1429.4	0.149697858553077	4.82449522830001	14.6788386017502	0.000814209076828961	0.127928889103659
73712	83.8	70.2	0.4979514662619	1.01072008005259	14.6619978185454	0.000818707329128721	0.127928889103659
14748	270.8	239	0.469286403783738	2.90058256381841	16.2759329228168	0.000823120706146413	0.127928889103659
21333	619.4	579.4	0.362807887263037	3.94408926633503	16.5195372503458	0.000838536522768962	0.128938371277687
66309	875.6	960.6	0.162838995807581	4.42378502996446	14.554348100039	0.000848108825301648	0.129037525904316
20788	9895	11611.8	0.101647060722844	7.86145513196427	14.3919386196932	0.000894666844416161	0.134703276762408
11686	188	318.6	-0.463742892832837	3.00830901651922	15.8419201989633	0.000927764152581566	0.138246423313546
78593	4958.8	5649.4	0.122922351723474	6.95090961711064	14.0420153713389	0.00100473421829142	0.145774254568013
15563	1043.6	1161.4	0.147419146860777	4.62991728472409	14.0335326801185	0.00100757942333421	0.145774254568013
60533	86.8	141.8	-0.404471172542028	1.21073677219826	14.0306771209762	0.00100853919031419	0.145774254568013
54375	7213.8	8279.2	0.100349162419756	7.55612044218284	13.9296183288668	0.00104315578050119	0.149284887637269
18218	7172	8182.4	0.124468356800005	7.36324181730591	13.885028794635	0.00105883952667744	0.150043789397998
19108	458.2	486.6	0.186194188499325	3.48785577701416	13.7996660129427	0.00108958683165325	0.152327525297113
229791	12505	14191.8	0.110605261628868	8.22263124351424	13.7691046219632	0.00110083048682341	0.152327525297113
22422	2155.2	2430.6	0.16590946768299	5.57491220572707	13.908298510514	0.00112036836057539	0.152327525297113
11987	2257.2	2520.2	0.134114301534723	5.73434695190637	13.6860266711894	0.00113203972099797	0.152327525297113
271305	726.6	752	0.26683295202742	4.00576308560339	14.3493205616548	0.00113222544450714	0.152327525297113
100503659	10043.6	11794	0.0969196089658796	7.90897318476296	13.6699541669983	0.0011381882338514	0.152327525297113
106014	3920.8	5394.2	-0.157230504869351	6.70231129069014	14.1249771217563	0.00115170848728267	0.152722885093429
93709	251.2	240.2	0.331014617127436	2.38241856678399	13.5084645173439	0.00120202788698819	0.157946464350248
432611	56.6	50.4	0.49726538224602	0.340698333488075	13.4509708017862	0.00122569039799003	0.15960476587881
223828	1185.4	1614.4	-0.151066466651518	5.05453021504404	13.26343584231	0.00130647421668261	0.168605163642236
11722	696.4	959.6	-0.185525196592451	4.12540458664148	13.1993127555005	0.00133541439999866	0.169366987825598
65254	1284.8	1435.6	0.155492069830308	4.98144548229522	13.1931835973456	0.00133821703181064	0.169366987825598
381413	593.4	649.2	0.194264191592758	3.78811917153687	13.1544488995352	0.0013560780457082	0.169366987825598
76429	598	655.6	0.174054985792571	3.71296806014013	13.1476324862112	0.0013592479997073	0.169366987825598
72386	600.8	646.4	0.180978186707676	3.82057582434709	13.0336865960658	0.00141345315648973	0.171085576284907
238323	2299.2	2609.2	0.136765491849935	5.64731250480735	13.0288767123504	0.00141579256280948	0.171085576284907
66471	4047.4	4649.6	0.107033323112186	6.60708355989389	13.0213896297883	0.00141944250200387	0.171085576284907
214931	40300.2	52852.4	-0.0910361587177721	9.95551407140433	13.0047972354636	0.00142756790678543	0.171085576284907
140743	189	174.8	0.398848636211106	2.16527495299257	13.2599689762473	0.00143329434389125	0.171085576284907
268527	90.2	146	-0.451587330015717	1.54085561712057	13.0306140164096	0.00144405979706369	0.171085576284907
234214	13758.4	15681	0.0953131360045217	8.28051713450746	12.8546383181876	0.00150345348288128	0.174794088826773
73251	10697.4	12066.4	0.0981394304313	8.12092938117413	12.849896363383	0.00150592053701843	0.174794088826773
170711	2455	2860.4	0.105832224887719	5.89032789460271	12.8335208909159	0.00151447408603953	0.174794088826773
19662	719.2	776	0.1828704020026	4.01966481909774	12.8159059806879	0.00152373427370786	0.174794088826773
57740	6066.4	8222.2	-0.111510528975908	7.25965225077177	12.7800817204823	0.00154275835455047	0.175582907532854
93886	114.8	109.2	0.33680089252805	1.38320217553192	12.6853957237343	0.00159429991114612	0.179637701841386
192156	880	982.8	0.149136846373072	4.15510476216699	12.6693083842988	0.00160324225387705	0.179637701841386
71213	159.4	233.6	-0.259145782093903	2.21196613169496	12.5565346625106	0.00166748739221474	0.185398944362092
67622	395.8	563.4	-0.240738221234357	3.41237939699136	12.4876566526411	0.00170810489555899	0.187178938780966
104099	343.4	358.6	0.227415405729676	3.09490559622914	12.4343318532407	0.00174029246336276	0.187178938780966
230810	289.8	291.2	0.252016852372764	2.82215708511234	12.4269974168536	0.00174477118905573	0.187178938780966
330319	4083.2	5408.6	-0.120882257793728	7.23977852242812	12.4139806691278	0.00175275079637962	0.187178938780966
12918	195	190.8	0.317047190000721	2.292725490837	12.3878875231915	0.00176886683119564	0.187178938780966
11554	1095.8	1243.2	0.153045749992741	4.69984337872549	12.3850375943792	0.00177063682298716	0.187178938780966
