	GeneID	Chr	Symbol	NExons	P.Value	FDR
192620	71069	8	Stox2	6	0.0323288054278509	1
40703	192170	11	Eif4a3	12	0.0323913237181492	1
98926	19395	19	Rasgrp2	17	0.032854694338453	1
149994	24055	5	Sh3bp2	15	0.0329531937561868	1
203948	408059	9	BC049352	5	0.0329972294546563	1
70668	75729	15	Fam227a	18	0.033583499255137	1
14487	320495	10	Ipcef1	12	0.0339196460143193	1
145294	11610	4	Agtrap	5	0.0340893949000867	1
33972	276950	11	Slfn8	6	0.0342810452031693	1
47946	104910	12	Slc25a47	6	0.0343435965544525	1
72262	105847	15	Lmf2	14	0.0344329362478109	1
3720	18187	1	Nrp2	18	0.0346285105229705	1
91598	73582	17	Camkmt	11	0.0355795778946504	1
127949	53814	3	Oaz3	6	0.0358787482519069	1
128441	100042889	3	C920021L13Rik	4	0.0359498748890067	1
124366	14173	3	Fgf2	3	0.0362651548221906	1
114151	100504545	2	NA	2	0.036354074016993	1
40397	21877	11	Tk1	7	0.0363636262596319	1
208923	24127	9	Xrn1	42	0.0369005824259366	1
131804	74446	3	Slc9b1	13	0.0369401648259749	1
206589	382083	9	Snx22	7	0.0372321754309483	1
168577	58186	6	Rad18	14	0.0374017684993975	1
15846	21987	10	Tpd52l1	7	0.0374277668440752	1
54310	20499	13	Slc12a7	24	0.0381589645877331	1
22961	103468	10	Nup107	28	0.0384104386286958	1
75981	74006	16	Dnm1l	19	0.0385464978677947	1
81864	100037283	17	Rnaset2a	9	0.0391645977124429	1
14466	56533	10	Rgs17	6	0.0393657315660756	1
51732	621976	13	Tmem170b	3	0.0394745533912744	1
138300	12695	4	Patj	45	0.039511252913025	1
80884	54720	16	Rcan1	5	0.0406174023768246	1
146006	57295	4	Icmt	6	0.0408471031068023	1
14500	215748	10	Cnksr3	13	0.0413624214269343	1
163306	76223	6	Agbl3	19	0.0417505675619093	1
25255	64660	11	Mrps24	4	0.0420459609921679	1
212066	636931	9	Trim71	4	0.0425490724969444	1
15205	71804	10	Mtfr2	7	0.042569767593688	1
