ENTREZID	SYMBOL
100503659	Cbarp
106042	Prickle1
11434	Acr
11516	Adcyap1
12805	Cntn1
13712	Elk1
14313	Fst
14860	Gsta4
16476	Jun
16526	Kcnk2
18628	Per3
19094	Mapk11
20254	Scg2
20855	Stc1
211232	Cpne9
21685	Tef
217082	Hlf
223827	Gxylt1
223828	Pphln1
223881	Rnd1
226412	R3hdm1
238384	Slc24a4
26570	Slc7a11
271305	Phf21b
56233	Hdac7
66725	Lrrk2
68525	Evc2
68708	Rabl2
69219	Ddah1
69440	Dennd6b
72349	Dusp3
83762	Otof
