	KOSD5	KOHC7	logFC	logCPM	F	PValue	FDR
14605	3962.20733374334	1488.66383748715	1.45297974050262	6.09447691569906	519.406315500107	8.53728031664357e-23	1.24055220281148e-18
56213	6584.36335314334	3557.42169988567	0.96181419728422	7.16276079846904	432.322391009628	2.98034773494979e-22	2.16537164682777e-18
108682	2829.22286341753	1583.53453432655	0.865369017882304	5.87329382477448	395.192388736501	1.41061383151155e-21	6.83254319523144e-18
67451	453.926592578179	151.263486338519	1.62306044309728	2.9442468858782	318.257852792417	5.6939113461954e-20	2.06845564428914e-16
14623	3068.80290203032	1589.1834608042	0.99509074062526	5.95531760941456	315.219212951165	8.3313673254058e-20	2.17036086259424e-16
22228	880.268908657029	412.816103955039	1.22772582456099	4.04354798694376	307.392621482115	1.02311840120779e-19	2.17036086259424e-16
19416	352.988245396975	76.6347966913343	2.29843340692879	2.26842162186643	313.44455453585	1.045525155747e-19	2.17036086259424e-16
102075	300.695333557942	93.3053008138121	1.70186744379466	2.30754161824373	263.195747047416	1.3660898123192e-18	2.31563115810777e-15
433904	3784.56611965587	2526.25633646561	0.598133900339047	6.49527384830663	262.422538461278	1.43422203722868e-18	2.31563115810777e-15
20887	762.828904278484	227.713603540589	1.74593754516466	3.73290728412166	282.019365529021	3.16699641721654e-18	4.60196249385735e-15
228608	1798.70890045227	1044.13727354668	0.859248746467792	5.28695116261854	247.997406935426	3.6417563402998e-18	4.81076012553603e-15
104175	3840.03889671678	2281.8181161343	0.806762011737998	6.33620519554642	236.759154763853	7.78187548219766e-18	9.42320271931785e-15
210135	1872.94715518205	1249.95734595074	0.584638743225199	5.44423151468513	233.633132945601	9.66556566969968e-18	1.01043446446485e-14
75695	3283.4432849936	2244.45168020003	0.63285510072328	6.3053013171532	232.742872688031	1.02857906676722e-17	1.01043446446485e-14
106878	377.918111575184	124.157323632033	1.66142162208667	2.68771457661325	232.543334387867	1.04304706950469e-17	1.01043446446485e-14
71853	5310.07996541481	3086.03284452912	0.804537659991015	6.83947118976592	232.137031663713	1.29632822452262e-17	1.17730908940863e-14
74030	1697.09896382886	999.254154119219	0.759460950433192	5.15279560718372	226.886199690689	1.55663570075603e-17	1.3305572569227e-14
12053	1148.86080949421	676.679574448142	0.825629263800764	4.57116488175657	223.978424229226	1.91876710400581e-17	1.54897804379491e-14
21946	258.266933707049	96.5260405702475	1.46692013678611	2.28095380415579	223.162880313011	2.03554642774128e-17	1.55676448113203e-14
17067	1140.15180092601	660.252911555307	0.821952133580733	4.66173532140125	221.655112078096	2.27159866970209e-17	1.60424915227771e-14
76574	1548.59331582149	632.737334196538	1.35473401183086	4.92867867226864	258.5532665976	2.31843866202132e-17	1.60424915227771e-14
213119	471.462895031324	185.131841026975	1.37402715576703	3.03742786483758	217.24919403999	3.1418517297853e-17	2.02577343145061e-14
12575	1666.22612549743	628.665156450681	1.5011508353352	4.77921592749371	264.441859375252	3.20644063886616e-17	2.02577343145061e-14
240025	2134.91444836672	3845.07366631046	-0.720493498639095	6.44375999795242	214.543529684844	3.84504573852124e-17	2.31645465011292e-14
104886	14070.412661153	10655.3859963065	0.420900600530251	8.47485159899444	213.457812598485	4.17220751203014e-17	2.31645465011292e-14
17202	186.521448568757	50.159550309346	1.95543489593506	1.58087543826263	213.224848820239	4.24615281839382e-17	2.31645465011292e-14
108100	15462.9508709417	11758.7768780883	0.468328857708692	8.59222431669693	213.044957227099	4.3041962392849e-17	2.31645465011292e-14
225870	3868.94916458602	2486.76075393228	0.69341384375538	6.44624044920553	208.820833029972	5.93725102870721e-17	3.08122123921945e-14
20971	1786.83594554614	941.488289515009	0.947882478635637	5.22364758341046	212.382464172924	6.76359804660067e-17	3.38902907638463e-14
17060	704.947036805475	416.362813186323	0.81125431485905	4.00823824653795	206.341756759646	7.18942675994312e-17	3.48231867495778e-14
27261	478.151828615263	214.898723894628	1.23057292038054	3.13887961177504	200.245446894162	1.16073477818868e-16	5.44085066511601e-14
320292	2091.47886492355	3483.1214630493	-0.742677799764343	6.42423578294526	195.913257682857	1.70454259010352e-16	7.7402213677482e-14
74762	1453.70308463747	534.995923537535	1.48585619912803	4.71203723824818	236.887152226621	1.85452305268842e-16	7.85384256366937e-14
231125	1772.41331109759	2823.70824631931	-0.636500258967338	6.01094792698109	194.299016974918	1.87450358823333e-16	7.85384256366937e-14
100502895	159.562665850344	29.1906095182194	2.50079539779547	1.19565730923317	196.260557845446	1.89171075444517e-16	7.85384256366937e-14
14229	3021.60876742592	915.883285215745	1.76694349310219	5.66934169222689	273.989379486372	2.13246875754313e-16	8.42929638761621e-14
11501	396.910958710836	162.203880812477	1.30879947930135	2.84695461136428	192.646162148628	2.14633518919413e-16	8.42929638761621e-14
12304	2146.17262780891	1165.41590565973	0.884954271410493	5.44584653563455	195.936996317172	2.57393245146315e-16	9.84258222426607e-14
14828	15870.2559989162	7055.3012483206	1.16352451975167	8.26960878425914	243.1673462539	2.86808972029636e-16	1.0686208134776e-13
11744	1065.40468310359	633.998916816316	0.795391004961233	4.57662842624861	187.837286086524	3.20074038357391e-16	1.16274896284281e-13
27528	1517.99308922031	2631.69640639863	-0.828177219686333	5.83126996800808	192.151189535241	3.56990065084535e-16	1.24380123420775e-13
16525	4309.18547614903	3210.56743637191	0.468635139725983	6.68573783175605	186.458316485022	3.59504864336423e-16	1.24380123420775e-13
18791	1572.10761038316	998.047613539505	0.665167243451126	5.06855447024186	182.533642579133	5.02377210658862e-16	1.69768447629859e-13
320158	1790.67102158279	2653.51086208534	-0.594325725968699	5.96033909979277	181.346606291364	5.56541789607733e-16	1.83797926017954e-13
12048	4273.39781939852	3287.02491889551	0.433512795572153	6.70604523919529	180.584253244326	5.94544707930976e-16	1.91985092243222e-13
237761	2710.62309094119	1754.24354922203	0.70465364449126	5.98765552682719	180.185925490807	6.15479223424743e-16	1.94424534686629e-13
71840	92.9015340467788	8.30103746822379	3.66920659294359	0.315117230075384	180.799746133882	9.12325729533246e-16	2.7957416992979e-13
12696	1032.86160631205	2461.36506699076	-1.13629467815878	5.67810036793312	208.133646826176	9.23512501316491e-16	2.7957416992979e-13
54720	2726.92855300057	2091.44311208088	0.437446142873076	6.06781554363137	175.061158232117	9.66218525600287e-16	2.86533089704036e-13
12282	5507.74298263054	3716.58290023843	0.598638684562688	6.96152578888268	174.370805938679	1.02759493022454e-15	2.98617648041738e-13
56175	44.3317074849861	149.076149956806	-1.73280314157102	1.50235831430175	174.150130787333	1.0480696476587e-15	2.98617648041738e-13
329152	2055.39645271893	3456.46299747138	-0.770012151635116	6.27374972822823	178.415698575126	1.14755461901764e-15	3.20675310941258e-13
100037258	2799.54031478697	1853.14060332609	0.589042134130316	6.00662632067058	172.898800015781	1.1725903343607e-15	3.21488870728215e-13
22350	3419.43877563729	2228.71809532237	0.652424685951881	6.34306112092721	170.779187357879	1.42037457411032e-15	3.82212276599946e-13
74229	5304.524134113	3376.03642409336	0.641856948047091	6.90785015407506	170.431464754708	1.46602861749353e-15	3.8732476074179e-13
330319	6947.58198504811	3723.61651730659	0.93243093421322	7.21921613165652	195.19983890334	1.7265978987903e-15	4.48021322630748e-13
231605	4710.03671339851	2547.44878495754	0.936846868170407	6.63572491217985	191.447862382667	1.9627270757935e-15	5.00357669093954e-13
212448	5407.05687032546	3893.21610124915	0.467675784518701	7.01115447203153	161.05797454205	3.51151411325553e-15	8.79755372064071e-13
226777	2543.01240142104	4029.9139991779	-0.62661887149441	6.55293891833233	159.942820012621	3.90678904962372e-15	9.62195791187834e-13
70807	768.231472629697	341.198423080747	1.23697429281454	3.65078628068186	168.644517633551	4.10849315853675e-15	9.95008568111624e-13
67203	763.847906515537	488.753751221287	0.65049747130954	4.11491241284398	158.385529442317	4.53894657972306e-15	1.08123660245829e-12
15505	18529.9534012286	12382.4610519395	0.573673670981964	8.75980070196601	156.41426443656	5.4973873798351e-15	1.28842800026426e-12
76295	3469.57223563891	5375.35574321014	-0.658830293577117	6.9762330658924	157.654329413585	5.6413065950619e-15	1.30117184337848e-12
192678	1297.36804193152	2546.16238150939	-0.961696864582415	5.76881235620027	175.633548993882	6.61172998530574e-15	1.50117263150746e-12
17181	1738.22225093813	1144.81177396005	0.673610573924427	5.47768872254394	153.262940421277	7.49805813263313e-15	1.67621973423526e-12
94090	15045.4453232151	10656.4145067505	0.52859085008221	8.48479335074895	152.524337070209	8.06984937761843e-15	1.76946817382594e-12
74840	1847.79869441508	1062.78417723465	0.797206646925194	5.29334322075831	155.654476442015	8.16602990861284e-15	1.76946817382594e-12
228880	8892.88538465397	6098.89007897822	0.559262113429021	7.65879609843998	152.266047063025	8.28049245201047e-15	1.76946817382594e-12
216892	3525.64848160286	2110.22298070385	0.768863370099857	6.2111698057884	159.807097999737	8.81647031313669e-15	1.85669753797376e-12
19094	3628.60013817622	2679.57042825779	0.497068387465701	6.53092806915931	151.249881084957	9.16710345370966e-15	1.8675932212736e-12
243911	525.957063739564	287.690201685117	0.926377015140439	3.62328019727664	151.182832000234	9.22901565858431e-15	1.8675932212736e-12
68272	3315.19961284232	2210.85852723046	0.56127805044883	6.28171502131281	151.156142905701	9.25378239155592e-15	1.8675932212736e-12
18132	482.53358188965	247.915852002208	1.05307828157754	3.27026000724605	150.935999968698	9.46075827570333e-15	1.8832092945787e-12
76453	1649.05522401019	1022.15163711536	0.725782708221943	5.22650707945532	149.10392807319	1.13845395626118e-14	2.23552357276098e-12
17260	22468.6665355632	30193.2510294229	-0.427162498092022	9.57219965394814	147.512688975928	1.33901325269864e-14	2.56878720528495e-12
78779	2095.91394087484	1494.99764647739	0.560639196448057	5.58494177446762	147.479835992635	1.34352644416527e-14	2.56878720528495e-12
105348	1682.15418967904	1039.31213328816	0.708021631127293	5.21453660750296	147.157241561234	1.38870351790317e-14	2.62068192450012e-12
13803	50748.9192806809	35362.3708931967	0.548973173644256	10.2466417720737	142.299286860854	2.30152615600659e-14	4.28762520165792e-12
75805	971.60041765785	1455.56594126563	-0.581266823487432	5.11256103656226	141.995055372027	2.37659024712933e-14	4.37142188367549e-12
12827	5906.77615627132	3955.64447347651	0.645694936048863	7.13916028743845	144.285198737393	2.5301664704138e-14	4.59573112269786e-12
210622	1368.68107554357	2135.70636305883	-0.584129278546461	5.59797991168651	141.064811692076	2.62253679011111e-14	4.7047014934697e-12
68465	2926.77340347604	1904.03277109253	0.616753934553402	6.00727874389363	140.310506802276	2.84161530155024e-14	5.03555023741788e-12
100504425	179.602616164015	73.3057383039102	1.34110119559657	1.56090598813795	139.892434638071	2.97126590736509e-14	5.20186324095447e-12
214895	1568.59431626108	1117.38680094962	0.542908240674382	5.27195939370176	139.098449436624	3.23494587360141e-14	5.59501695871582e-12
22027	15557.4206914865	10809.1170375679	0.512560213819061	8.52867937209119	138.989973666757	3.27284042041735e-14	5.59501695871582e-12
