	KORS2	WTRS2	logFC	logCPM	F	PValue	FDR
11434	155.286539616372	78.0260423760154	0.975845451069306	1.91340194530012	80.895688498926	6.4165013499765e-11	9.32381811165086e-07
68708	967.184937424467	1236.17370889361	-0.379998706434409	5.00590554578589	71.2310020751084	3.24826362307146e-10	2.36002593534257e-06
69440	2340.8659421132	2925.79931818782	-0.352596552520414	6.39775702546294	52.1887411929094	1.28335930029309e-08	6.2161646641863e-05
110784	812.445250905308	950.613862048671	-0.239084504199148	4.72852113237017	30.1934657472652	2.87281815828148e-06	0.0104362301644971
140492	1275.33405979929	1129.87839039675	0.229518584755873	4.87784967067555	26.0773954637522	9.69708540831424e-06	0.0281816696136428
223828	1083.07097880444	1327.41042613151	-0.257378843436597	5.05765492855876	24.7327948001587	1.46960878412219e-05	0.035428590513309
100043571	62.2002247932707	84.6566581107005	-0.53769685116139	1.08998367338365	24.2566145411946	1.70669694854561e-05	0.035428590513309
67622	318.85400607243	395.372568200037	-0.334818131531646	3.39777933586529	23.4697421593762	2.19123567809338e-05	0.0398010570479687
271305	576.564549249172	446.063528889745	0.344186045839385	3.97276354284139	22.4581794756128	3.03717955292497e-05	0.0490369512039474
12919	812.844723868169	653.631768188731	0.366002534465663	4.3437384576023	21.9159480380159	3.76783213317519e-05	0.0547503687271687
66725	2242.4659936441	3030.59463748945	-0.352800055353458	5.97516680130309	22.1675349502264	4.39321379636848e-05	0.0580343542500277
106042	4932.98209012383	4152.8993080679	0.246159446758189	6.98160713758418	21.1304552168418	4.84423353038581e-05	0.0586596311916969
223827	726.704640623637	629.00712303482	0.258695684163839	4.27133793802054	19.9371304713891	7.03949116963161e-05	0.0782489937695546
27204	3686.40136505178	2824.19991016995	0.359752131569993	6.24109324024448	20.6908362804352	7.53895748932465e-05	0.0782489937695546
14313	151.977502708248	106.146133001488	0.581285455246439	1.66956064330374	19.1510303634361	9.22595264499303e-05	0.0893748785895958
11516	1355.04506263138	1110.48637092538	0.345282583453825	5.02914845300491	19.2186454159327	0.000104751944885477	0.0922837944219723
21685	12298.4365322399	13413.1210253697	-0.169998352982737	8.54879176245951	18.4319552299389	0.000118596262047695	0.0922837944219723
276952	8874.05030357351	7816.42234854179	0.168293825843926	7.92627864054177	18.4147303576506	0.000119317102796534	0.0922837944219723
12570	11877.8118823093	10524.943840333	0.172598968417047	8.31375030974444	18.2318525853494	0.000127262371247989	0.0922837944219723
80888	568.288805695434	457.727687098655	0.281221260074026	3.63035326718519	18.1647938987208	0.000130314323963864	0.0922837944219723
12805	16407.1950809453	15115.7450194658	0.158461683862725	8.82570733282082	17.9109110023855	0.000142588688530548	0.0922837944219723
16476	2048.49517739194	1740.73776193777	0.241724045935477	5.70375531228671	17.9003009299854	0.000143593680199933	0.0922837944219723
56213	7045.59441614074	6253.16496335467	0.195133639497896	7.16276079846904	17.8431198803355	0.000146068905904987	0.0922837944219723
17293	60.4472635928062	24.4223570074863	1.17137733318916	0.529273574977447	17.8899359400773	0.000167843339690702	0.101622148710233
66871	762.10562393724	887.38973695203	-0.224460695059381	4.67851241977699	16.9961286372916	0.000197990419727296	0.110823962467383
23877	761.570965143257	676.123478011488	0.175516423872349	4.35996037570353	16.9323422359349	0.000202621692434078	0.110823962467383
78779	1706.07488132105	1437.64002130993	0.192078652572281	5.58494177446762	16.6544897566827	0.000224173897685465	0.110823962467383
330319	7237.19549241703	5927.13766496947	0.275034585571164	7.21921613165652	17.0661279073596	0.000228370681980305	0.110823962467383
56742	383.294051851656	467.816428482079	-0.311514030756038	3.46930587566541	16.6024245848192	0.000228475537917973	0.110823962467383
83762	1610.95005495129	2067.81752312924	-0.451447349385093	5.81632948127081	17.6798965752268	0.000228801794372134	0.110823962467383
105855	414.657958019477	483.25626197151	-0.225350481911049	3.80009518568552	16.2285081978392	0.000262054289934289	0.12283583506565
21400	1324.68255735008	1415.96557029885	-0.149270435713398	5.3871180520507	16.0428446125162	0.000280632671840323	0.125179233108953
100043600	64.8084171215356	39.7444884136239	0.671710108601986	0.770139598798548	16.0078976304646	0.000284282891239106	0.125179233108953
381813	3437.65206767557	3054.50762141061	0.14713046009162	6.52430877243505	15.8552857081038	0.000300822233588757	0.126620965363106
19094	3255.06279122606	3617.08447630636	-0.16161302544445	6.53092806915931	15.8182749079898	0.000304984776526646	0.126620965363106
18628	2261.77923862003	2613.84713649522	-0.230589388208161	6.02284138500624	15.3442166046487	0.000374354309724342	0.147790710558917
53357	932.239427852475	736.364815827523	0.305958115647156	4.69866625039669	15.3110940513703	0.000388932680842219	0.147790710558917
70021	127.152445356788	89.5679117228593	0.5013522128289	1.48567570216808	15.1607564114879	0.000390045826035381	0.147790710558917
71648	575.937334464163	648.735232963458	-0.196528442578599	4.31929632827524	15.1161713513893	0.000396658021595056	0.147790710558917
77125	540.577279301701	701.059774824787	-0.350147751110788	4.36989361012201	15.2515502165892	0.000411869869685812	0.149622026910113
68854	150.868103477589	116.526519056371	0.434474896410627	2.00703283296181	14.9066974310753	0.000429352280686542	0.152168731479418
72097	9669.57706228682	8528.61523608199	0.167429608466189	7.94842878971945	14.7670836988667	0.000452719511893119	0.156630172079022
